HW,output,Cin,latency
224,56,3,0.064
224,56,33,0.129
224,56,63,0.153
224,56,93,0.191
224,56,123,0.228
224,56,153,0.252
224,56,183,0.339
224,56,213,0.351
224,56,243,0.372
224,56,273,0.387
224,56,303,0.418
224,56,333,0.498
224,56,363,0.511
224,56,393,0.523
224,56,423,0.538
224,56,453,0.574
224,56,483,0.65
224,56,513,0.659
224,56,543,0.672
224,56,573,0.689
224,56,603,0.719
224,56,633,0.742
224,56,663,0.809
224,56,693,0.824
224,56,723,0.842
224,56,753,0.861
224,56,783,0.891
224,56,813,0.962
224,56,843,0.976
224,56,873,0.986
224,56,903,1.008
224,56,933,1.039
224,56,963,1.108
224,56,993,1.126
224,56,1023,1.14
224,32,3,0.058
224,32,33,0.101
224,32,63,0.126
224,32,93,0.173
224,32,123,0.209
224,32,153,0.232
224,32,183,0.292
224,32,213,0.31
224,32,243,0.324
224,32,273,0.349
224,32,303,0.373
224,32,333,0.427
224,32,363,0.442
224,32,393,0.451
224,32,423,0.479
224,32,453,0.506
224,32,483,0.553
224,32,513,0.569
224,32,543,0.581
224,32,573,0.606
224,32,603,0.631
224,32,633,0.654
224,32,663,0.696
224,32,693,0.711
224,32,723,0.729
224,32,753,0.756
224,32,783,0.779
224,32,813,0.823
224,32,843,0.84
224,32,873,0.857
224,32,903,0.878
224,32,933,0.903
224,32,963,0.947
224,32,993,0.964
224,32,1023,0.981
224,28,3,0.08
224,28,33,0.121
224,28,63,0.159
224,28,93,0.201
224,28,123,0.262
224,28,153,0.285
224,28,183,0.33
224,28,213,0.38
224,28,243,0.416
224,28,273,0.441
224,28,303,0.473
224,28,333,0.515
224,28,363,0.549
224,28,393,0.563
224,28,423,0.604
224,28,453,0.649
224,28,483,0.681
224,28,513,0.698
224,28,543,0.737
224,28,573,0.781
224,28,603,0.813
224,28,633,0.832
224,28,663,0.869
224,28,693,0.911
224,28,723,0.942
224,28,753,0.967
224,28,783,1.003
224,28,813,1.044
224,28,843,1.072
224,28,873,1.097
224,28,903,1.132
224,28,933,1.172
224,28,963,1.199
224,28,993,1.228
224,28,1023,1.261
224,27,3,0.06
224,27,33,0.113
224,27,63,0.138
224,27,93,0.178
224,27,123,0.218
224,27,153,0.247
224,27,183,0.329
224,27,213,0.335
224,27,243,0.353
224,27,273,0.372
224,27,303,0.404
224,27,333,0.47
224,27,363,0.483
224,27,393,0.494
224,27,423,0.513
224,27,453,0.545
224,27,483,0.608
224,27,513,0.626
224,27,543,0.635
224,27,573,0.652
224,27,603,0.684
224,27,633,0.71
224,27,663,0.769
224,27,693,0.779
