HW,Cin,latency
224,3,0.134
224,8,0.142
224,13,0.148
224,18,0.163
224,23,0.171
224,28,0.176
224,33,0.193
224,38,0.206
224,43,0.237
224,48,0.245
224,53,0.263
224,58,0.28
224,63,0.307
224,68,0.315
224,73,0.35
224,78,0.349
224,83,0.414
224,88,0.424
224,93,0.446
224,98,0.466
224,103,0.462
224,108,0.484
224,113,0.486
224,118,0.504
224,123,0.527
224,128,0.558
224,133,0.565
224,138,0.564
224,143,0.573
224,148,0.613
224,153,0.631
224,158,0.626
224,163,0.675
224,168,0.693
224,173,0.688
224,178,0.705
224,183,0.713
224,188,0.725
224,193,0.742
224,198,0.758
224,203,0.777
224,208,0.782
224,213,0.799
224,218,0.81
224,223,0.833
224,228,0.85
224,233,0.859
224,238,0.902
224,243,0.913
224,248,0.919
224,253,0.936
224,258,0.941
224,263,0.954
224,268,0.951
224,273,0.968
224,278,0.978
224,283,1.008
224,288,1.036
224,293,1.022
224,298,1.037
224,303,1.057
224,308,1.103
224,313,1.105
224,318,1.104
224,323,1.144
224,328,1.164
224,333,1.144
224,338,1.164
224,343,1.173
224,348,1.185
224,353,1.2
224,358,1.215
224,363,1.229
224,368,1.232
224,373,1.258
224,378,1.279
224,383,1.289
224,388,1.299
224,393,1.307
224,398,1.315
224,403,1.35
224,408,1.369
224,413,1.373
224,418,1.381
224,423,1.38
224,428,1.39
224,433,1.417
224,438,1.435
224,443,1.455
224,448,1.474
224,453,1.469
224,458,1.487
224,463,1.597
224,468,1.534
224,473,1.525
224,478,1.533
224,483,1.588
224,488,1.573
224,493,1.599
224,498,1.61
224,503,1.619
224,508,1.63
224,513,1.649
224,518,1.648
224,523,1.664
224,528,1.681
224,533,1.711
224,538,1.719
224,543,1.734
224,548,1.746
224,553,1.756
224,558,7.173
224,563,1.787
224,568,1.807
224,573,1.815
224,578,1.822
224,583,1.818
224,588,1.849
224,593,1.851
224,598,1.865
224,603,1.879
224,608,1.916
224,613,1.902
224,618,1.909
224,623,1.916
224,628,1.963
224,633,1.964
224,638,1.975
224,643,1.989
224,648,2.026
224,653,2.012
224,658,2.034
224,663,2.04
224,668,2.043
224,673,2.068
224,678,2.084
224,683,2.097
224,688,2.1
224,693,2.112
224,698,2.118
224,703,2.144
224,708,2.137
224,713,2.18
224,718,2.177
224,723,2.208
224,728,2.218
224,733,2.229
224,738,2.23
224,743,2.236
224,748,2.254
224,753,2.272
224,758,2.266
224,763,2.305
224,768,2.309
224,773,2.315
224,778,2.345
224,783,2.361
224,788,2.352
224,793,2.374
224,798,2.399
224,803,2.398
224,808,2.425
224,813,2.452
224,818,2.451
224,823,2.461
224,828,2.474
224,833,2.47
224,838,2.498
224,843,2.502
224,848,2.53
224,853,2.541
224,858,2.569
224,863,2.563
224,868,2.555
224,873,2.582
224,878,2.6
224,883,2.621
224,888,2.627
224,893,2.646
224,898,2.641
224,903,2.662
224,908,2.666
224,913,2.692
224,918,2.702
224,923,2.697
224,928,2.716
224,933,2.763
224,938,2.761
224,943,2.759
224,948,2.771
224,953,2.783
224,958,2.811
224,963,2.834
224,968,2.835
224,973,2.857
224,978,2.84
224,983,2.89
224,988,2.88
224,993,2.911
224,998,2.896
224,1003,2.924
224,1008,2.94
224,1013,2.953
224,1018,2.991
224,1023,2.98
112,3,0.089
112,8,0.109
112,13,0.108
112,18,0.119
112,23,0.108
112,28,0.118
112,33,0.113
112,38,0.116
112,43,0.118
112,48,0.12
112,53,0.126
112,58,0.123
112,63,0.124
112,68,0.134
112,73,0.134
112,78,0.137
112,83,0.146
112,88,0.146
112,93,0.151
112,98,0.152
112,103,0.152
112,108,0.159
112,113,0.155
112,118,0.165
112,123,0.168
112,128,0.171
112,133,0.177
112,138,0.178
112,143,0.189
112,148,0.196
112,153,0.194
112,158,0.213
112,163,0.217
112,168,0.213
112,173,0.215
112,178,0.221
112,183,0.23
112,188,0.223
112,193,0.229
112,198,0.234
112,203,0.231
112,208,0.253
112,213,0.246
112,218,0.254
112,223,0.246
112,228,0.256
112,233,0.255
112,238,0.259
112,243,0.275
112,248,0.287
112,253,0.277
112,258,0.276
112,263,0.28
112,268,0.294
112,273,0.294
112,278,0.299
112,283,0.293
112,288,0.295
112,293,0.3
112,298,0.31
112,303,0.315
112,308,0.319
112,313,0.328
112,318,0.33
112,323,0.344
112,328,0.34
112,333,0.345
112,338,0.341
112,343,0.347
112,348,0.349
112,353,0.355
112,358,0.354
112,363,0.372
112,368,0.377
112,373,0.372
112,378,0.374
112,383,0.362
112,388,0.366
112,393,0.374
112,398,0.374
112,403,0.388
112,408,0.396
112,413,0.442
112,418,0.428
112,423,0.416
112,428,0.412
112,433,0.425
112,438,0.438
112,443,0.44
112,448,0.429
112,453,0.471
112,458,0.442
112,463,0.452
112,468,0.459
112,473,0.46
112,478,0.463
112,483,0.463
112,488,0.47
112,493,0.468
112,498,0.473
112,503,0.483
112,508,0.496
112,513,0.485
112,518,0.482
112,523,0.486
112,528,0.503
112,533,0.499
112,538,0.501
112,543,0.496
112,548,0.501
112,553,0.502
112,558,0.515
112,563,0.513
112,568,0.517
112,573,0.529
112,578,0.561
112,583,0.525
112,588,0.535
112,593,0.54
112,598,0.575
112,603,0.579
112,608,0.555
112,613,0.559
112,618,0.552
112,623,0.557
112,628,0.562
112,633,0.56
112,638,0.56
112,643,0.571
112,648,0.581
112,653,0.589
112,658,0.58
112,663,0.586
112,668,0.583
112,673,0.591
112,678,0.589
112,683,0.598
112,688,0.607
112,693,0.601
112,698,0.608
112,703,0.615
112,708,0.617
112,713,0.618
112,718,0.626
112,723,0.622
112,728,0.632
112,733,0.634
112,738,0.637
112,743,0.638
112,748,0.644
112,753,0.64
112,758,0.644
112,763,0.646
112,768,0.651
112,773,0.657
112,778,0.657
112,783,0.666
112,788,0.668
112,793,0.67
112,798,0.671
112,803,0.683
112,808,0.68
112,813,0.685
112,818,0.688
112,823,0.686
112,828,0.701
112,833,0.697
112,838,0.693
112,843,0.707
112,848,0.715
112,853,0.713
112,858,0.73
112,863,0.726
112,868,0.726
112,873,0.729
112,878,0.736
112,883,0.74
112,888,0.744
112,893,0.747
112,898,0.747
112,903,0.746
112,908,0.751
112,913,0.756
112,918,0.749
112,923,0.761
112,928,0.769
112,933,0.784
112,938,0.772
112,943,0.773
112,948,0.767
112,953,0.776
112,958,0.782
112,963,0.782
112,968,0.782
112,973,0.793
112,978,0.795
112,983,0.798
112,988,0.803
112,993,0.799
112,998,0.796
112,1003,0.808
112,1008,0.813
112,1013,0.815
112,1018,0.822
112,1023,0.82
56,3,0.089
56,8,0.089
56,13,0.094
56,18,0.098
56,23,0.1
56,28,0.12
56,33,0.101
56,38,0.106
56,43,0.11
56,48,0.12
56,53,0.104
56,58,0.11
56,63,0.106
56,68,0.106
56,73,0.115
56,78,0.113
56,83,0.112
56,88,0.137
56,93,0.111
56,98,0.11
56,103,0.118
56,108,0.113
56,113,0.117
56,118,0.111
56,123,0.119
56,128,0.114
56,133,0.12
56,138,0.116
56,143,0.115
56,148,0.119
56,153,0.117
56,158,0.119
56,163,0.125
56,168,0.125
56,173,0.126
56,178,0.123
56,183,0.124
56,188,0.124
56,193,0.136
56,198,0.126
56,203,0.128
56,208,0.135
56,213,0.129
56,218,0.126
56,223,0.132
56,228,0.135
56,233,0.131
56,238,0.131
56,243,0.14
56,248,0.141
56,253,0.147
56,258,0.141
56,263,0.14
56,268,0.14
56,273,0.138
56,278,0.141
56,283,0.144
56,288,0.143
56,293,0.144
56,298,0.143
56,303,0.149
56,308,0.146
56,313,0.145
56,318,0.146
56,323,0.153
56,328,0.151
56,333,0.153
56,338,0.157
56,343,0.155
56,348,0.152
56,353,0.157
56,358,0.16
56,363,0.161
56,368,0.162
56,373,0.168
56,378,0.164
56,383,0.159
56,388,0.163
56,393,0.168
56,398,0.164
56,403,0.172
56,408,0.175
56,413,0.168
56,418,0.17
56,423,0.171
56,428,0.172
56,433,0.174
56,438,0.172
56,443,0.17
56,448,0.174
56,453,0.173
56,458,0.175
56,463,0.176
56,468,0.177
56,473,0.172
56,478,0.175
56,483,0.183
56,488,0.186
56,493,0.185
56,498,0.181
56,503,0.19
56,508,0.188
56,513,0.186
56,518,0.186
56,523,0.186
56,528,0.19
56,533,0.19
56,538,0.194
56,543,0.191
56,548,0.184
56,553,0.191
56,558,0.196
56,563,0.196
56,568,0.194
56,573,0.196
56,578,0.199
56,583,0.203
56,588,0.199
56,593,0.197
56,598,0.205
56,603,0.214
56,608,0.198
56,613,0.205
56,618,0.206
56,623,0.208
56,628,0.205
56,633,0.206
56,638,0.203
56,643,0.209
56,648,0.215
56,653,0.213
56,658,0.217
56,663,0.217
56,668,0.208
56,673,0.22
56,678,0.222
56,683,0.218
56,688,0.217
56,693,0.223
56,698,0.217
56,703,0.214
56,708,0.214
56,713,0.215
56,718,0.218
56,723,0.22
56,728,0.222
56,733,0.221
56,738,0.223
56,743,0.225
56,748,0.222
56,753,0.23
56,758,0.257
56,763,0.269
56,768,0.263
56,773,0.236
56,778,0.241
56,783,0.237
56,788,0.234
56,793,0.232
56,798,0.24
56,803,0.241
56,808,0.239
56,813,0.248
56,818,0.246
56,823,0.238
56,828,0.257
56,833,0.25
56,838,0.243
56,843,0.255
56,848,0.251
56,853,0.246
56,858,0.251
56,863,0.253
56,868,0.245
56,873,0.253
56,878,0.256
56,883,0.247
56,888,0.263
56,893,0.255
56,898,0.271
56,903,0.274
56,908,0.264
56,913,0.268
56,918,0.279
56,923,0.264
56,928,0.274
56,933,0.279
56,938,0.265
56,943,0.279
56,948,0.278
56,953,0.268
56,958,0.289
56,963,0.279
56,968,0.278
56,973,0.298
56,978,0.282
56,983,0.284
56,988,0.283
56,993,0.289
56,998,0.293
56,1003,0.277
56,1008,0.294
56,1013,0.297
56,1018,0.291
56,1023,0.296
32,3,0.089
32,8,0.091
32,13,0.094
32,18,0.091
32,23,0.092
32,28,0.099
32,33,0.128
32,38,0.091
32,43,0.098
32,48,0.095
32,53,0.107
32,58,0.094
32,63,0.093
32,68,0.101
32,73,0.098
32,78,0.098
32,83,0.099
32,88,0.098
32,93,0.106
32,98,0.1
32,103,0.101
32,108,0.11
32,113,0.103
32,118,0.11
32,123,0.11
32,128,0.111
32,133,0.104
32,138,0.117
32,143,0.11
32,148,0.11
32,153,0.121
32,158,0.107
32,163,0.118
32,168,0.113
32,173,0.109
32,178,0.121
32,183,0.106
32,188,0.108
32,193,0.109
32,198,0.105
32,203,0.111
32,208,0.122
32,213,0.109
32,218,0.128
32,223,0.121
32,228,0.127
32,233,0.115
32,238,0.11
32,243,0.115
32,248,0.124
32,253,0.119
32,258,0.122
32,263,0.12
32,268,0.126
32,273,0.117
32,278,0.121
32,283,0.121
32,288,0.12
32,293,0.123
32,298,0.12
32,303,0.128
32,308,0.12
32,313,0.132
32,318,0.121
32,323,0.127
32,328,0.129
32,333,0.131
32,338,0.128
32,343,0.131
32,348,0.128
32,353,0.126
32,358,0.128
32,363,0.137
32,368,0.128
32,373,0.136
32,378,0.13
32,383,0.136
32,388,0.129
32,393,0.131
32,398,0.133
32,403,0.136
32,408,0.13
32,413,0.132
32,418,0.14
32,423,0.134
32,428,0.136
32,433,0.138
32,438,0.137
32,443,0.142
32,448,0.139
32,453,0.136
32,458,0.139
32,463,0.137
32,468,0.141
32,473,0.14
32,478,0.14
32,483,0.143
32,488,0.147
32,493,0.145
32,498,0.144
32,503,0.145
32,508,0.143
32,513,0.145
32,518,0.147
32,523,0.146
32,528,0.141
32,533,0.142
32,538,0.144
32,543,0.153
32,548,0.146
32,553,0.151
32,558,0.148
32,563,0.151
32,568,0.153
32,573,0.156
32,578,0.163
32,583,0.155
32,588,0.15
32,593,0.152
32,598,0.15
32,603,0.155
32,608,0.156
32,613,0.165
32,618,0.161
32,623,0.162
32,628,0.162
32,633,0.162
32,638,0.16
32,643,0.16
32,648,0.166
32,653,0.157
32,658,0.157
32,663,0.159
32,668,0.158
32,673,0.164
32,678,0.161
32,683,0.16
32,688,0.16
32,693,0.162
32,698,0.164
