HW,kernel,stride,Cin,Cout,FLOPs,latency
224,1,1,3,3,903168,0.244
224,1,1,3,32,9633792,0.209
224,1,1,3,64,19267584,0.296
224,1,1,3,128,38535168,0.475
224,1,1,3,256,77070336,0.853
224,1,1,3,512,154140672,1.588
224,1,1,3,1024,308281344,3.055
224,1,1,32,3,9633792,0.19
224,1,1,32,32,102760448,0.231
224,1,1,32,64,205520896,0.332
224,1,1,32,128,411041792,0.566
224,1,1,32,256,822083584,1.006
224,1,1,32,512,1644167168,1.865
224,1,1,32,1024,3288334336,3.579
224,1,1,64,3,19267584,0.282
224,1,1,64,32,205520896,0.339
224,1,1,64,64,411041792,0.526
224,1,1,64,128,822083584,0.736
224,1,1,64,256,1644167168,1.353
224,1,1,64,512,3288334336,2.419
224,1,1,64,1024,6576668672,4.628
224,1,1,128,3,38535168,0.423
224,1,1,128,32,411041792,0.511
224,1,1,128,64,822083584,0.705
224,1,1,128,128,1644167168,1.081
224,1,1,128,256,3288334336,1.919
224,1,1,128,512,6576668672,3.556
224,1,1,128,1024,13153337344,6.842
224,1,1,256,3,77070336,0.641
224,1,1,256,32,822083584,0.712
224,1,1,256,64,1644167168,0.976
224,1,1,256,128,3288334336,1.699
224,1,1,256,256,6576668672,3.093
224,1,1,256,512,13153337344,5.825
224,1,1,256,1024,26306674688,11.322
224,1,1,512,3,154140672,1.029
224,1,1,512,32,1644167168,1.131
224,1,1,512,64,3288334336,1.571
224,1,1,512,128,6576668672,2.851
224,1,1,512,256,13153337344,5.387
224,1,1,512,512,26306674688,10.349
224,1,1,512,1024,52613349376,20.321
224,1,1,1024,3,308281344,1.767
224,1,1,1024,32,3288334336,1.9
224,1,1,1024,64,6576668672,2.733
224,1,1,1024,128,13153337344,5.142
224,1,1,1024,256,26306674688,9.941
224,1,1,1024,512,52613349376,19.371
224,1,1,1024,1024,1.05E+11,38.188
224,1,2,3,3,225792,0.123
224,1,2,3,32,2408448,0.167
224,1,2,3,64,4816896,0.162
224,1,2,3,128,9633792,0.225
224,1,2,3,256,19267584,0.317
224,1,2,3,512,38535168,0.494
224,1,2,3,1024,77070336,0.849
224,1,2,32,3,2408448,0.177
224,1,2,32,32,25690112,0.179
224,1,2,32,64,51380224,0.195
224,1,2,32,128,102760448,0.264
224,1,2,32,256,205520896,0.374
224,1,2,32,512,411041792,0.595
224,1,2,32,1024,822083584,1.044
224,1,2,64,3,4816896,0.214
224,1,2,64,32,51380224,0.205
224,1,2,64,64,102760448,0.227
224,1,2,64,128,205520896,0.305
224,1,2,64,256,411041792,0.439
224,1,2,64,512,822083584,0.73
224,1,2,64,1024,1644167168,1.298
224,1,2,128,3,9633792,0.287
224,1,2,128,32,102760448,0.3
224,1,2,128,64,205520896,0.348
224,1,2,128,128,411041792,0.441
224,1,2,128,256,822083584,0.667
224,1,2,128,512,1644167168,1.076
224,1,2,128,1024,3288334336,1.937
224,1,2,256,3,19267584,0.405
224,1,2,256,32,205520896,0.433
224,1,2,256,64,411041792,0.488
224,1,2,256,128,822083584,0.648
224,1,2,256,256,1644167168,0.991
224,1,2,256,512,3288334336,1.696
224,1,2,256,1024,6576668672,3.11
224,1,2,512,3,38535168,0.557
224,1,2,512,32,411041792,0.589
224,1,2,512,64,822083584,1.013
224,1,2,512,128,1644167168,1.04
224,1,2,512,256,3288334336,1.592
224,1,2,512,512,6576668672,2.858
224,1,2,512,1024,13153337344,5.415
224,1,2,1024,3,77070336,0.827
224,1,2,1024,32,822083584,0.848
224,1,2,1024,64,1644167168,1.695
224,1,2,1024,128,3288334336,1.731
224,1,2,1024,256,6576668672,2.714
224,1,2,1024,512,13153337344,5.134
224,1,2,1024,1024,26306674688,9.97
224,1,4,3,3,56448,0.112
224,1,4,3,32,602112,0.155
224,1,4,3,64,1204224,0.173
224,1,4,3,128,2408448,0.162
224,1,4,3,256,4816896,0.154
224,1,4,3,512,9633792,0.218
224,1,4,3,1024,19267584,0.315
224,1,4,32,3,602112,0.179
224,1,4,32,32,6422528,0.182
224,1,4,32,64,12845056,0.176
224,1,4,32,128,25690112,0.175
224,1,4,32,256,51380224,0.19
224,1,4,32,512,102760448,0.262
224,1,4,32,1024,205520896,0.375
224,1,4,64,3,1204224,0.207
224,1,4,64,32,12845056,0.211
224,1,4,64,64,25690112,0.204
224,1,4,64,128,51380224,0.213
224,1,4,64,256,102760448,0.245
224,1,4,64,512,205520896,0.32
224,1,4,64,1024,411041792,0.451
224,1,4,128,3,2408448,0.29
224,1,4,128,32,25690112,0.285
224,1,4,128,64,51380224,0.294
224,1,4,128,128,102760448,0.304
224,1,4,128,256,205520896,0.375
224,1,4,128,512,411041792,0.484
224,1,4,128,1024,822083584,0.687
224,1,4,256,3,4816896,0.421
224,1,4,256,32,51380224,0.388
224,1,4,256,64,102760448,0.377
224,1,4,256,128,205520896,0.413
224,1,4,256,256,411041792,0.538
224,1,4,256,512,822083584,0.695
224,1,4,256,1024,1644167168,1.001
224,1,4,512,3,9633792,0.497
224,1,4,512,32,102760448,0.501
224,1,4,512,64,205520896,0.526
224,1,4,512,128,411041792,0.617
224,1,4,512,256,822083584,0.804
224,1,4,512,512,1644167168,1.083
224,1,4,512,1024,3288334336,1.632
224,1,4,1024,3,19267584,0.709
224,1,4,1024,32,205520896,0.73
224,1,4,1024,64,411041792,0.756
224,1,4,1024,128,822083584,0.804
224,1,4,1024,256,1644167168,1.285
224,1,4,1024,512,3288334336,1.802
224,1,4,1024,1024,6576668672,2.816
224,3,1,3,3,8128512,0.202
224,3,1,3,32,86704128,0.243
224,3,1,3,64,173408256,0.352
224,3,1,3,128,346816512,0.563
224,3,1,3,256,693633024,0.992
224,3,1,3,512,1387266048,1.785
224,3,1,3,1024,2774532096,3.056
224,3,1,32,3,86704128,0.301
224,3,1,32,32,924844032,0.348
224,3,1,32,64,1849688064,0.606
224,3,1,32,128,3699376128,1.612
224,3,1,32,256,7398752256,3.057
224,3,1,32,512,14797504512,5.949
224,3,1,32,1024,29595009024,8.83
224,3,1,64,3,173408256,0.422
224,3,1,64,32,1849688064,0.596
224,3,1,64,64,3699376128,1.291
224,3,1,64,128,7398752256,2.431
224,3,1,64,256,14797504512,4.685
224,3,1,64,512,29595009024,9.061
224,3,1,64,1024,59190018048,14.03
224,3,1,128,3,346816512,0.89
224,3,1,128,32,3699376128,1.173
224,3,1,128,64,7398752256,2.158
224,3,1,128,128,14797504512,4.079
224,3,1,128,256,29595009024,7.883
224,3,1,128,512,59190018048,15.343
224,3,1,128,1024,1.18E+11,25.085
224,3,1,256,3,693633024,1.871
224,3,1,256,32,7398752256,2.03
224,3,1,256,64,14797504512,3.767
224,3,1,256,128,29595009024,7.264
224,3,1,256,256,59190018048,14.165
224,3,1,256,512,1.18E+11,27.755
224,3,1,256,1024,2.37E+11,38.867
224,3,1,512,3,1387266048,3.445
224,3,1,512,32,14797504512,3.639
224,3,1,512,64,29595009024,6.95
224,3,1,512,128,59190018048,13.639
