HW,kernel,stride,Cin,FLOPs,latency
224,1,1,3,1204224,0.123
224,1,1,6,4214784,0.08
224,1,1,8,7225344,0.091
224,1,1,16,27295744,0.138
224,1,1,32,105971712,0.225
224,1,1,64,417464320,0.405
224,1,1,128,1657012224,0.773
224,1,1,256,6602358784,1.435
224,1,1,512,26358054912,2.738
224,1,1,1024,1.05E+11,5.356
224,1,2,3,303750,0.066
224,1,2,6,1063125,0.066
224,1,2,8,1822500,0.068
224,1,2,16,6885000,0.073
224,1,2,32,26730000,0.103
224,1,2,64,105300000,0.164
224,1,2,128,417960000,0.281
224,1,2,256,1665360000,0.462
224,1,2,512,6648480000,0.803
224,1,2,1024,26568000000,1.475
224,1,4,3,77293.5,0.065
224,1,4,6,270527.25,0.066
224,1,4,8,463761,0.066
224,1,4,16,1751986,0.071
224,1,4,32,6801828,0.076
224,1,4,64,26795080,0.101
224,1,4,128,106355856,0.157
224,1,4,256,423774496,0.221
224,1,4,512,1691800128,0.318
224,1,4,1024,6760604800,0.5
224,3,1,3,3580488,0.076
224,3,1,6,8951220,0.099
224,3,1,8,13526288,0.108
224,3,1,16,39783200,0.159
224,3,1,32,130488896,0.262
224,3,1,64,464667776,0.483
224,3,1,128,1744095488,0.906
224,3,1,256,6747230720,1.7
224,3,1,512,26530620416,3.278
224,3,1,1024,1.05E+11,6.412
224,3,2,3,903168,0.062
224,3,2,6,2257920,0.068
224,3,2,8,3411968,0.074
224,3,2,16,10035200,0.085
224,3,2,32,32915456,0.12
224,3,2,64,117211136,0.204
224,3,2,128,439943168,0.347
224,3,2,256,1701969920,0.577
224,3,2,512,6692274176,1.012
224,3,2,1024,26537885696,1.874
224,3,4,3,229842,0.061
224,3,4,6,574605,0.065
224,3,4,8,868292,0.067
224,3,4,16,2553800,0.072
224,3,4,32,8376464,0.085
224,3,4,64,29828384,0.126
224,3,4,128,111958592,0.208
224,3,4,256,433124480,0.305
224,3,4,512,1703078144,0.491
224,3,4,1024,6753473024,0.845
224,5,1,3,8279712,0.096
224,5,1,6,18333648,0.147
224,5,1,8,26021952,0.169
224,5,1,16,64660608,0.294
224,5,1,32,179788032,0.54
224,5,1,64,561443328,1.015
224,5,1,128,1930355712,1.973
224,5,1,256,7090587648,3.843
224,5,1,512,27100680192,7.564
224,5,1,1024,1.06E+11,14.999
224,5,2,3,2088618,0.063
224,5,2,6,4624797,0.078
224,5,2,8,6564228,0.092
224,5,2,16,16311112,0.119
224,5,2,32,45352848,0.189
224,5,2,64,141628192,0.336
224,5,2,128,486946368,0.618
224,5,2,256,1788652672,1.139
224,5,2,512,6836345088,2.146
224,5,2,1024,26708849152,4.16
224,5,4,3,531562.5,0.063
224,5,4,6,1177031.25,0.069
224,5,4,8,1670625,0.071
224,5,4,16,4151250,0.09
224,5,4,32,11542500,0.125
224,5,4,64,36045000,0.188
224,5,4,128,123930000,0.298
224,5,4,256,455220000,0.484
224,5,4,512,1739880000,0.84
224,5,4,1024,6797520000,1.546
224,7,1,3,15238392,0.122
224,7,1,6,32235060,0.201
224,7,1,8,44542992,0.24
224,7,1,16,101589280,0.425
224,7,1,32,253191744,0.801
224,7,1,64,706436224,1.544
224,7,1,128,2213083392,3.03
224,7,1,256,7627010560,5.955
224,7,1,512,28057396224,11.784
224,7,1,1024,1.07E+11,23.44
224,7,2,3,3844152,0.067
224,7,2,6,8131860,0.091
224,7,2,8,11236752,0.118
224,7,2,16,25627680,0.158
224,7,2,32,63872064,0.267
224,7,2,64,178210944,0.49
224,7,2,128,558289152,0.936
224,7,2,256,1924047360,1.762
224,7,2,512,7077970944,3.388
224,7,2,1024,27075446784,6.633
224,7,4,3,978432,0.074
224,7,4,6,2069760,0.071
224,7,4,8,2860032,0.084
224,7,4,16,6522880,0.107
224,7,4,32,16257024,0.153
224,7,4,64,45359104,0.234
224,7,4,128,142098432,0.423
224,7,4,256,489717760,0.739
224,7,4,512,1801519104,1.339
224,7,4,1024,6891372544,2.539
224,9,1,3,24393600,0.154
224,9,1,6,50529600,0.261
224,9,1,8,68921600,0.316
224,9,1,16,150233600,0.582
224,9,1,32,350028800,1.107
224,9,1,64,898304000,2.151
224,9,1,128,2589593600,4.244
224,9,1,256,8351129600,8.381
224,9,1,512,29390028800,16.634
224,9,1,1024,1.10E+11,33.134
224,9,2,3,6153966,0.085
224,9,2,6,12747501,0.119
224,9,2,8,17387396,0.149
224,9,2,16,37900616,0.213
224,9,2,32,88304528,0.377
224,9,2,64,226622240,0.708
224,9,2,128,653297216,1.353
224,9,2,256,2106805376,2.582
224,9,2,512,7414454528,5.023
224,9,2,1024,27632284160,9.881
224,9,4,3,1566463.5,0.079
224,9,4,6,3244817.25,0.083
224,9,4,8,4425881,0.104
224,9,4,16,9647426,0.136
224,9,4,32,22477508,0.208
224,9,4,64,57685640,0.326
224,9,4,128,166293776,0.607
224,9,4,256,536277536,1.104
224,9,4,512,1887315008,2.066
224,9,4,1024,7033669760,3.958
112,1,1,3,301056,0.053
112,1,1,6,1053696,0.063
112,1,1,8,1806336,0.06
112,1,1,16,6823936,0.072
112,1,1,32,26492928,0.09
112,1,1,64,104366080,0.134
112,1,1,128,414253056,0.219
112,1,1,256,1650589696,0.396
112,1,1,512,6589513728,0.755
112,1,1,1024,26332364800,1.426
112,1,2,3,76614,0.049
112,1,2,6,268149,0.062
112,1,2,8,459684,0.058
112,1,2,16,1736584,0.065
112,1,2,32,6742032,0.068
112,1,2,64,26559520,0.076
112,1,2,128,105420864,0.1
112,1,2,256,420049024,0.157
112,1,2,512,1676927232,0.278
112,1,2,1024,6701171200,0.459
112,1,4,3,19837.5,0.049
112,1,4,6,69431.25,0.06
112,1,4,8,119025,0.061
112,1,4,16,449650,0.064
112,1,4,32,1745700,0.069
112,1,4,64,6877000,0.068
112,1,4,128,27296400,0.073
112,1,4,256,108762400,0.101
112,1,4,512,434203200,0.161
112,1,4,1024,1735120000,0.218
112,3,1,3,887112,0.05
112,3,1,6,2217780,0.057
112,3,1,8,3351312,0.062
112,3,1,16,9856800,0.075
112,3,1,32,32330304,0.104
112,3,1,64,115127424,0.156
112,3,1,128,432122112,0.259
112,3,1,256,1671713280,0.47
112,3,1,512,6573302784,0.897
112,3,1,1024,26066110464,1.688
112,3,2,3,225792,0.05
112,3,2,6,564480,0.063
112,3,2,8,852992,0.063
112,3,2,16,2508800,0.067
112,3,2,32,8228864,0.08
112,3,2,64,29302784,0.089
112,3,2,128,109985792,0.122
112,3,2,256,425492480,0.199
112,3,2,512,1673068544,0.344
112,3,2,1024,6634471424,0.576
112,3,4,3,58482,0.049
112,3,4,6,146205,0.053
112,3,4,8,220932,0.062
112,3,4,16,649800,0.063
112,3,4,32,2131344,0.066
112,3,4,64,7589664,0.072
112,3,4,128,28487232,0.086
112,3,4,256,110206080,0.133
112,3,4,512,433338624,0.213
112,3,4,1024,1718383104,0.321
112,5,1,3,2032800,0.051
112,5,1,6,4501200,0.065
112,5,1,8,6388800,0.081
112,5,1,16,15875200,0.109
112,5,1,32,44140800,0.173
112,5,1,64,137843200,0.292
112,5,1,128,473932800,0.53
112,5,1,256,1740851200,1.015
112,5,1,512,6653644800,1.972
112,5,1,1024,25995059200,3.845
112,5,2,3,517482,0.064
112,5,2,6,1145853,0.063
112,5,2,8,1626372,0.061
112,5,2,16,4041288,0.076
112,5,2,32,11236752,0.094
112,5,2,64,35090208,0.124
112,5,2,128,120647232,0.193
112,5,2,256,443161728,0.349
112,5,2,512,1693792512,0.641
112,5,2,1024,6617461248,1.174
112,5,4,3,134074.5,0.051
112,5,4,6,296879.25,0.059
112,5,4,8,421377,0.06
112,5,4,16,1047058,0.063
112,5,4,32,2911332,0.074
112,5,4,64,9091528,0.089
112,5,4,128,31258512,0.117
112,5,4,256,114818848,0.176
112,5,4,512,438844992,0.311
112,5,4,1024,1714519168,0.509
112,7,1,3,3706872,0.055
112,7,1,6,7841460,0.083
112,7,1,8,10835472,0.103
112,7,1,16,24712480,0.149
112,7,1,32,61591104,0.237
112,7,1,64,171846784,0.427
112,7,1,128,538351872,0.801
112,7,1,256,1855336960,1.545
112,7,1,512,6825206784,3.038
112,7,1,1024,26108545024,5.97
112,7,2,3,943800,0.057
112,7,2,6,1996500,0.067
112,7,2,8,2758800,0.071
112,7,2,16,6292000,0.093
112,7,2,32,15681600,0.122
112,7,2,64,43753600,0.169
112,7,2,128,137068800,0.284
112,7,2,256,472384000,0.526
112,7,2,512,1737753600,1
112,7,2,1024,6647449600,1.884
112,7,4,3,244608,0.06
112,7,4,6,517440,0.064
112,7,4,8,715008,0.068
112,7,4,16,1630720,0.076
112,7,4,32,4064256,0.087
112,7,4,64,11339776,0.113
112,7,4,128,35524608,0.164
112,7,4,256,122429440,0.254
112,7,4,512,450379776,0.468
112,7,4,1024,1722843136,0.797
112,9,1,3,5878656,0.064
112,9,1,6,12177216,0.095
112,9,1,8,16609536,0.123
112,9,1,16,36205056,0.182
112,9,1,32,84354048,0.316
112,9,1,64,216483840,0.581
112,9,1,128,624070656,1.102
112,9,1,256,2012553216,2.148
112,9,1,512,7082754048,4.228
112,9,1,1024,26396098560,8.348
112,9,2,3,1497006,0.064
112,9,2,6,3100941,0.072
112,9,2,8,4229636,0.08
112,9,2,16,9219656,0.113
112,9,2,32,21480848,0.158
112,9,2,64,55127840,0.229
112,9,2,128,158920256,0.403
112,9,2,256,512498816,0.761
112,9,2,512,1803630848,1.456
112,9,2,1024,6721794560,2.783
112,9,4,3,388111.5,0.07
112,9,4,6,803945.25,0.08
112,9,4,8,1096569,0.079
112,9,4,16,2390274,0.084
112,9,4,32,5569092,0.108
112,9,4,64,14292360,0.158
112,9,4,128,41201424,0.223
112,9,4,256,132869664,0.358
112,9,4,512,467606592,0.659
112,9,4,1024,1742682240,1.195
56,1,1,3,75264,0.044
56,1,1,6,263424,0.046
56,1,1,8,451584,0.049
56,1,1,16,1705984,0.053
56,1,1,32,6623232,0.06
