in_features,out_features,FLOPs,latency
10,10,190,0.057
10,160,3040,0.047
10,310,5890,0.05
10,460,8740,0.049
10,610,11590,0.048
10,760,14440,0.05
10,910,17290,0.053
10,1060,20140,0.048
10,1210,22990,0.046
10,1360,25840,0.048
10,1510,28690,0.062
10,1660,31540,0.047
10,1810,34390,0.047
10,1960,37240,0.046
10,2110,40090,0.049
10,2260,42940,0.051
10,2410,45790,0.05
10,2560,48640,0.047
10,2710,51490,0.047
10,2860,54340,0.048
10,3010,57190,0.047
10,3160,60040,0.049
10,3310,62890,0.045
10,3460,65740,0.046
10,3610,68590,0.045
10,3760,71440,0.093
10,3910,74290,0.049
10,4060,77140,0.053
10,4210,79990,0.048
10,4360,82840,0.05
10,4510,85690,0.052
10,4660,88540,0.047
10,4810,91390,0.047
10,4960,94240,0.048
10,5110,97090,0.048
10,5260,99940,0.066
10,5410,102790,0.048
10,5560,105640,0.053
10,5710,108490,0.05
10,5860,111340,0.066
10,6010,114190,0.057
10,6160,117040,0.049
10,6310,119890,0.052
10,6460,122740,0.047
10,6610,125590,0.057
10,6760,128440,0.05
10,6910,131290,0.049
10,7060,134140,0.051
10,7210,136990,0.053
10,7360,139840,0.051
10,7510,142690,0.048
10,7660,145540,0.052
10,7810,148390,0.046
10,7960,151240,0.07
10,8110,154090,0.047
160,10,3190,0.052
160,160,51040,0.046
160,310,98890,0.051
160,460,146740,0.051
160,610,194590,0.047
160,760,242440,0.053
160,910,290290,0.049
160,1060,338140,0.062
160,1210,385990,0.061
160,1360,433840,0.047
160,1510,481690,0.048
160,1660,529540,0.047
160,1810,577390,0.046
160,1960,625240,0.048
160,2110,673090,0.08
160,2260,720940,0.046
160,2410,768790,0.047
160,2560,816640,0.051
160,2710,864490,0.054
160,2860,912340,0.047
160,3010,960190,0.047
160,3160,1008040,0.048
160,3310,1055890,0.052
160,3460,1103740,0.047
160,3610,1151590,0.047
160,3760,1199440,0.048
160,3910,1247290,0.058
160,4060,1295140,0.048
160,4210,1342990,0.048
160,4360,1390840,0.059
160,4510,1438690,0.048
160,4660,1486540,0.048
160,4810,1534390,0.05
160,4960,1582240,0.049
160,5110,1630090,0.05
160,5260,1677940,0.05
160,5410,1725790,0.106
160,5560,1773640,0.052
160,5710,1821490,0.051
160,5860,1869340,0.053
160,6010,1917190,0.053
160,6160,1965040,0.059
160,6310,2012890,0.052
160,6460,2060740,0.054
160,6610,2108590,0.054
160,6760,2156440,0.053
160,6910,2204290,0.058
160,7060,2252140,0.06
160,7210,2299990,0.062
160,7360,2347840,0.063
160,7510,2395690,0.064
160,7660,2443540,0.064
160,7810,2491390,0.067
160,7960,2539240,0.072
160,8110,2587090,0.069
310,10,6190,0.047
310,160,99040,0.052
310,310,191890,0.047
310,460,284740,0.062
310,610,377590,0.046
310,760,470440,0.047
310,910,563290,0.047
310,1060,656140,0.048
310,1210,748990,0.047
310,1360,841840,0.049
310,1510,934690,0.047
310,1660,1027540,0.045
310,1810,1120390,0.048
310,1960,1213240,0.047
310,2110,1306090,0.048
310,2260,1398940,0.049
310,2410,1491790,0.047
310,2560,1584640,0.053
310,2710,1677490,0.051
310,2860,1770340,0.05
310,3010,1863190,0.053
310,3160,1956040,0.052
310,3310,2048890,0.068
310,3460,2141740,0.055
310,3610,2234590,0.057
310,3760,2327440,0.061
310,3910,2420290,0.065
310,4060,2513140,0.063
310,4210,2605990,0.062
310,4360,2698840,0.068
310,4510,2791690,0.065
310,4660,2884540,0.065
310,4810,2977390,0.07
310,4960,3070240,0.068
310,5110,3163090,0.069
310,5260,3255940,0.071
310,5410,3348790,0.072
310,5560,3441640,0.072
310,5710,3534490,0.074
310,5860,3627340,0.074
310,6010,3720190,0.078
310,6160,3813040,0.089
310,6310,3905890,0.076
310,6460,3998740,0.08
310,6610,4091590,0.083
310,6760,4184440,0.084
310,6910,4277290,0.083
310,7060,4370140,0.083
310,7210,4462990,0.086
310,7360,4555840,0.087
310,7510,4648690,0.091
310,7660,4741540,0.086
310,7810,4834390,0.093
310,7960,4927240,0.095
310,8110,5020090,0.092
460,10,9190,0.047
460,160,147040,0.061
460,310,284890,0.053
460,460,422740,0.047
460,610,560590,0.049
460,760,698440,0.051
460,910,836290,0.047
460,1060,974140,0.056
460,1210,1111990,0.049
460,1360,1249840,0.047
460,1510,1387690,0.049
460,1660,1525540,0.049
460,1810,1663390,0.048
460,1960,1801240,0.052
460,2110,1939090,0.066
460,2260,2076940,0.051
460,2410,2214790,0.051
460,2560,2352640,0.054
460,2710,2490490,0.061
460,2860,2628340,0.072
460,3010,2766190,0.064
460,3160,2904040,0.066
460,3310,3041890,0.092
460,3460,3179740,0.067
460,3610,3317590,0.069
460,3760,3455440,0.07
460,3910,3593290,0.072
460,4060,3731140,0.074
460,4210,3868990,0.086
460,4360,4006840,0.078
460,4510,4144690,0.08
460,4660,4282540,0.08
460,4810,4420390,0.082
460,4960,4558240,0.085
460,5110,4696090,0.082
460,5260,4833940,0.089
460,5410,4971790,0.087
460,5560,5109640,0.094
460,5710,5247490,0.088
460,5860,5385340,0.089
460,6010,5523190,0.09
460,6160,5661040,0.091
460,6310,5798890,0.092
460,6460,5936740,0.095
460,6610,6074590,0.096
460,6760,6212440,0.097
460,6910,6350290,0.097
460,7060,6488140,0.099
460,7210,6625990,0.113
460,7360,6763840,0.102
460,7510,6901690,0.119
460,7660,7039540,0.104
460,7810,7177390,0.107
460,7960,7315240,0.109
460,8110,7453090,0.115
610,10,12190,0.046
610,160,195040,0.065
610,310,377890,0.049
610,460,560740,0.046
610,610,743590,0.046
610,760,926440,0.049
610,910,1109290,0.048
610,1060,1292140,0.049
610,1210,1474990,0.06
610,1360,1657840,0.081
610,1510,1840690,0.049
610,1660,2023540,0.051
610,1810,2206390,0.052
610,1960,2389240,0.076
610,2110,2572090,0.059
610,2260,2754940,0.087
610,2410,2937790,0.064
610,2560,3120640,0.066
610,2710,3303490,0.074
610,2860,3486340,0.073
610,3010,3669190,0.085
610,3160,3852040,0.076
610,3310,4034890,0.08
610,3460,4217740,0.08
610,3610,4400590,0.092
610,3760,4583440,0.085
610,3910,4766290,0.085
610,4060,4949140,0.086
610,4210,5131990,0.09
610,4360,5314840,0.089
610,4510,5497690,0.092
610,4660,5680540,0.093
610,4810,5863390,0.093
610,4960,6046240,0.097
610,5110,6229090,0.099
610,5260,6411940,0.11
610,5410,6594790,0.103
610,5560,6777640,0.106
610,5710,6960490,0.106
610,5860,7143340,0.108
610,6010,7326190,0.109
610,6160,7509040,0.113
610,6310,7691890,0.114
610,6460,7874740,0.114
610,6610,8057590,0.117
610,6760,8240440,0.118
610,6910,8423290,0.125
610,7060,8606140,0.126
610,7210,8788990,0.122
610,7360,8971840,0.14
610,7510,9154690,0.125
610,7660,9337540,0.127
610,7810,9520390,0.133
610,7960,9703240,0.132
610,8110,9886090,0.133
760,10,15190,0.055
760,160,243040,0.052
760,310,470890,0.048
760,460,698740,0.047
760,610,926590,0.049
760,760,1154440,0.054
760,910,1382290,0.048
760,1060,1610140,0.051
760,1210,1837990,0.05
760,1360,2065840,0.053
760,1510,2293690,0.056
760,1660,2521540,0.061
760,1810,2749390,0.063
760,1960,2977240,0.067
760,2110,3205090,0.068
760,2260,3432940,0.075
760,2410,3660790,0.079
760,2560,3888640,0.074
760,2710,4116490,0.082
760,2860,4344340,0.084
760,3010,4572190,0.084
760,3160,4800040,0.087
760,3310,5027890,0.089
760,3460,5255740,0.089
760,3610,5483590,0.101
760,3760,5711440,0.094
760,3910,5939290,0.095
760,4060,6167140,0.099
760,4210,6394990,0.099
760,4360,6622840,0.112
760,4510,6850690,0.103
760,4660,7078540,0.105
760,4810,7306390,0.106
760,4960,7534240,0.112
760,5110,7762090,0.116
760,5260,7989940,0.117
760,5410,8217790,0.117
760,5560,8445640,0.12
760,5710,8673490,0.121
760,5860,8901340,0.126
760,6010,9129190,0.127
760,6160,9357040,0.126
760,6310,9584890,0.133
760,6460,9812740,0.13
760,6610,10040590,0.132
760,6760,10268440,0.133
760,6910,10496290,0.136
760,7060,10724140,0.137
760,7210,10951990,0.141
760,7360,11179840,0.143
760,7510,11407690,0.145
760,7660,11635540,0.145
760,7810,11863390,0.148
760,7960,12091240,0.153
760,8110,12319090,0.153
910,10,18190,0.055
910,160,291040,0.05
910,310,563890,0.062
910,460,836740,0.048
910,610,1109590,0.048
910,760,1382440,0.051
910,910,1655290,0.048
910,1060,1928140,0.071
910,1210,2200990,0.053
910,1360,2473840,0.059
910,1510,2746690,0.062
910,1660,3019540,0.065
910,1810,3292390,0.068
910,1960,3565240,0.072
910,2110,3838090,0.071
910,2260,4110940,0.074
910,2410,4383790,0.076
910,2560,4656640,0.078
910,2710,4929490,0.084
910,2860,5202340,0.098
910,3010,5475190,0.087
910,3160,5748040,0.089
910,3310,6020890,0.091
910,3460,6293740,0.102
910,3610,6566590,0.102
910,3760,6839440,0.098
910,3910,7112290,0.099
910,4060,7385140,0.101
910,4210,7657990,0.104
910,4360,7930840,0.106
910,4510,8203690,0.109
910,4660,8476540,0.112
910,4810,8749390,0.116
910,4960,9022240,0.114
910,5110,9295090,0.118
910,5260,9567940,0.126
910,5410,9840790,0.126
910,5560,10113640,0.129
910,5710,10386490,0.128
910,5860,10659340,0.132
910,6010,10932190,0.131
910,6160,11205040,0.14
910,6310,11477890,0.137
910,6460,11750740,0.139
910,6610,12023590,0.14
910,6760,12296440,0.143
910,6910,12569290,0.148
910,7060,12842140,0.148
910,7210,13114990,0.166
910,7360,13387840,0.151
910,7510,13660690,0.157
910,7660,13933540,0.157
910,7810,14206390,0.161
910,7960,14479240,0.162
910,8110,14752090,0.163
1060,10,21190,0.056
1060,160,339040,0.067
1060,310,656890,0.048
1060,460,974740,0.047
1060,610,1292590,0.048
1060,760,1610440,0.047
1060,910,1928290,0.064
1060,1060,2246140,0.055
1060,1210,2563990,0.061
1060,1360,2881840,0.072
1060,1510,3199690,0.07
1060,1660,3517540,0.071
1060,1810,3835390,0.09
1060,1960,4153240,0.076
1060,2110,4471090,0.079
1060,2260,4788940,0.08
1060,2410,5106790,0.084
1060,2560,5424640,0.087
1060,2710,5742490,0.09
1060,2860,6060340,0.1
1060,3010,6378190,0.096
1060,3160,6696040,0.097
1060,3310,7013890,0.1
1060,3460,7331740,0.103
1060,3610,7649590,0.108
1060,3760,7967440,0.108
1060,3910,8285290,0.113
1060,4060,8603140,0.119
1060,4210,8920990,0.12
1060,4360,9238840,0.122
1060,4510,9556690,0.125
1060,4660,9874540,0.127
1060,4810,10192390,0.129
1060,4960,10510240,0.131
1060,5110,10828090,0.134
1060,5260,11145940,0.141
1060,5410,11463790,0.143
1060,5560,11781640,0.145
1060,5710,12099490,0.146
1060,5860,12417340,0.149
1060,6010,12735190,0.153
1060,6160,13053040,0.156
1060,6310,13370890,0.157
1060,6460,13688740,0.159
1060,6610,14006590,0.164
1060,6760,14324440,0.17
1060,6910,14642290,0.169
1060,7060,14960140,0.175
1060,7210,15277990,0.172
1060,7360,15595840,0.177
1060,7510,15913690,0.177
1060,7660,16231540,0.186
1060,7810,16549390,0.188
1060,7960,16867240,0.194
1060,8110,17185090,0.194
1210,10,24190,0.06
1210,160,387040,0.056
1210,310,749890,0.051
1210,460,1112740,0.051
1210,610,1475590,0.055
1210,760,1838440,0.062
1210,910,2201290,0.055
1210,1060,2564140,0.062
1210,1210,2926990,0.066
1210,1360,3289840,0.068
1210,1510,3652690,0.073
1210,1660,4015540,0.085
1210,1810,4378390,0.082
1210,1960,4741240,0.083
1210,2110,5104090,0.085
1210,2260,5466940,0.089
1210,2410,5829790,0.1
1210,2560,6192640,0.1
1210,2710,6555490,0.098
1210,2860,6918340,0.119
