HW,kernel,stride,Cin,latency
224,1,1,3,0.052
224,1,1,53,0.364
224,1,1,103,0.65
224,1,1,153,0.918
224,1,1,203,1.174
224,1,1,253,1.448
224,1,1,303,1.707
224,1,1,353,1.971
224,1,1,403,2.234
224,1,1,453,2.507
224,1,1,503,2.768
224,1,1,553,3.027
224,1,1,603,3.293
224,1,1,653,3.554
224,1,1,703,3.815
224,1,1,753,4.073
224,1,1,803,4.347
224,1,1,853,4.606
224,1,1,903,4.872
224,1,1,953,5.138
224,1,1,1003,5.403
224,1,2,3,0.053
224,1,2,53,0.13
224,1,2,103,0.221
224,1,2,153,0.297
224,1,2,203,0.364
224,1,2,253,0.432
224,1,2,303,0.498
224,1,2,353,0.566
224,1,2,403,0.633
224,1,2,453,0.701
224,1,2,503,0.77
224,1,2,553,0.836
224,1,2,603,0.912
224,1,2,653,0.973
224,1,2,703,1.035
224,1,2,753,1.102
224,1,2,803,1.166
224,1,2,853,1.234
224,1,2,903,1.296
224,1,2,953,1.363
224,1,2,1003,1.435
224,1,4,3,0.05
224,1,4,53,0.067
224,1,4,103,0.096
224,1,4,153,0.129
224,1,4,203,0.153
224,1,4,253,0.177
224,1,4,303,0.199
224,1,4,353,0.219
224,1,4,403,0.238
224,1,4,453,0.261
224,1,4,503,0.278
224,1,4,553,0.295
224,1,4,603,0.314
224,1,4,653,0.331
224,1,4,703,0.35
224,1,4,753,0.373
224,1,4,803,0.386
224,1,4,853,0.406
224,1,4,903,0.422
224,1,4,953,0.441
224,1,4,1003,0.462
224,3,1,3,0.066
224,3,1,53,0.543
224,3,1,103,1.024
224,3,1,153,1.513
224,3,1,203,1.979
224,3,1,253,2.452
224,3,1,303,2.923
224,3,1,353,3.396
224,3,1,403,3.86
224,3,1,453,4.333
224,3,1,503,4.801
224,3,1,553,5.268
224,3,1,603,5.742
224,3,1,653,6.209
224,3,1,703,6.679
224,3,1,753,7.153
224,3,1,803,7.623
224,3,1,853,8.091
224,3,1,903,8.556
224,3,1,953,9.02
224,3,1,1003,9.492
224,3,2,3,0.049
224,3,2,53,0.173
224,3,2,103,0.307
224,3,2,153,0.438
224,3,2,203,0.56
224,3,2,253,0.682
224,3,2,303,0.805
224,3,2,353,0.926
224,3,2,403,1.048
224,3,2,453,1.168
224,3,2,503,1.289
224,3,2,553,1.408
224,3,2,603,1.528
224,3,2,653,1.646
