HW,output,Cin,latency
224,56,3,0.102
224,56,33,0.384
224,56,63,0.52
224,56,93,0.725
224,56,123,0.935
224,56,153,1.251
224,56,183,1.443
224,56,213,1.614
224,56,243,1.834
224,56,273,2.009
224,56,303,2.171
224,56,333,2.377
224,56,363,2.597
224,56,393,2.801
224,56,423,2.945
224,56,453,3.233
224,56,483,3.402
224,56,513,3.592
224,56,543,3.728
224,56,573,3.967
224,56,603,4.148
224,56,633,4.37
224,56,663,4.554
224,56,693,7.006
224,56,723,7.278
224,56,753,7.831
224,56,783,7.741
224,56,813,8.16
224,56,843,8.621
224,56,873,8.549
224,56,903,8.99
224,56,933,9.59
224,56,963,9.624
224,56,993,9.645
224,56,1023,10.477
224,32,3,0.078
224,32,33,0.379
224,32,63,0.492
224,32,93,0.687
224,32,123,0.901
224,32,153,1.109
224,32,183,1.258
224,32,213,1.462
224,32,243,1.665
224,32,273,1.848
224,32,303,1.993
224,32,333,2.189
224,32,363,2.35
224,32,393,2.598
224,32,423,2.752
224,32,453,2.968
224,32,483,3.149
224,32,513,3.343
224,32,543,3.514
224,32,573,3.688
224,32,603,3.855
224,32,633,4.005
224,32,663,4.184
224,32,693,7.244
224,32,723,7.13
224,32,753,7.598
224,32,783,7.666
224,32,813,7.17
224,32,843,7.499
224,32,873,7.955
224,32,903,7.612
224,32,933,8.637
224,32,963,8.796
224,32,993,9.581
224,32,1023,9.75
224,28,3,0.085
224,28,33,0.394
224,28,63,0.501
224,28,93,0.698
224,28,123,0.911
224,28,153,1.107
224,28,183,1.259
224,28,213,1.455
224,28,243,1.669
224,28,273,1.861
224,28,303,2.005
224,28,333,2.208
224,28,363,2.389
224,28,393,2.56
224,28,423,2.82
224,28,453,2.885
224,28,483,3.109
224,28,513,3.368
224,28,543,3.56
224,28,573,3.691
224,28,603,3.912
224,28,633,4.094
224,28,663,4.258
224,28,693,7.24
224,28,723,6.406
224,28,753,7.364
224,28,783,7.85
224,28,813,7.741
224,28,843,7.89
224,28,873,7.958
224,28,903,8.031
224,28,933,8.339
224,28,963,8.562
224,28,993,8.681
224,28,1023,10.383
224,27,3,0.086
224,27,33,0.497
224,27,63,0.642
224,27,93,0.922
224,27,123,1.207
224,27,153,1.488
224,27,183,1.689
224,27,213,1.938
224,27,243,2.216
224,27,273,2.489
224,27,303,2.651
224,27,333,2.94
224,27,363,3.183
224,27,393,3.447
224,27,423,3.656
224,27,453,4.062
224,27,483,4.151
224,27,513,4.411
224,27,543,4.681
224,27,573,4.933
224,27,603,5.203
224,27,633,5.52
224,27,663,5.75
224,27,693,8.432
224,27,723,7.937
224,27,753,8.908
224,27,783,8.95
224,27,813,8.839
224,27,843,8.995
224,27,873,9.769
224,27,903,10.254
224,27,933,11.071
224,27,963,12.137
224,27,993,11.984
224,27,1023,11.963
224,14,3,0.089
224,14,33,0.38
224,14,63,0.625
224,14,93,0.922
224,14,123,1.201
224,14,153,1.502
224,14,183,1.721
224,14,213,2.017
224,14,243,2.255
224,14,273,2.509
224,14,303,2.727
224,14,333,2.943
224,14,363,3.274
224,14,393,3.471
224,14,423,3.654
224,14,453,4.009
224,14,483,4.146
224,14,513,4.405
224,14,543,4.615
224,14,573,4.884
224,14,603,5.447
224,14,633,5.441
224,14,663,5.584
224,14,693,8.211
224,14,723,8.253
224,14,753,8.425
224,14,783,8.815
224,14,813,9.1
224,14,843,9.952
224,14,873,9.236
224,14,903,9.995
224,14,933,10.147
224,14,963,11.123
224,14,993,11.051
224,14,1023,11.668
224,13,3,0.086
224,13,33,0.427
224,13,63,0.713
224,13,93,1.07
224,13,123,1.423
224,13,153,1.775
224,13,183,2.068
224,13,213,2.363
224,13,243,2.667
224,13,273,2.991
224,13,303,3.171
224,13,333,3.55
224,13,363,3.852
224,13,393,4.063
224,13,423,4.313
224,13,453,4.619
224,13,483,4.995
224,13,513,5.225
224,13,543,5.476
224,13,573,5.822
224,13,603,6.078
224,13,633,6.353
224,13,663,6.616
224,13,693,8.602
224,13,723,8.709
224,13,753,8.906
224,13,783,9.691
224,13,813,9.283
224,13,843,9.803
224,13,873,10.547
224,13,903,10.259
224,13,933,10.741
224,13,963,11.212
224,13,993,11.392
224,13,1023,12.014
224,8,3,0.1
224,8,33,0.437
224,8,63,0.706
224,8,93,1.116
224,8,123,1.473
224,8,153,1.882
224,8,183,2.152
224,8,213,2.531
224,8,243,2.825
224,8,273,3.179
224,8,303,3.409
224,8,333,3.719
224,8,363,4.055
224,8,393,4.381
224,8,423,4.66
224,8,453,4.984
224,8,483,5.296
224,8,513,5.551
224,8,543,5.785
224,8,573,6.148
224,8,603,6.49
224,8,633,6.959
224,8,663,7.229
224,8,693,9.073
224,8,723,8.91
224,8,753,9.222
224,8,783,9.622
224,8,813,9.687
224,8,843,10.292
224,8,873,10.679
224,8,903,11.175
224,8,933,11.619
224,8,963,13.423
224,8,993,12.539
224,8,1023,14.498
224,7,3,0.102
224,7,33,0.577
224,7,63,0.92
224,7,93,1.319
224,7,123,1.757
224,7,153,2.058
224,7,183,2.559
224,7,213,2.709
224,7,243,3.122
224,7,273,3.657
224,7,303,3.845
224,7,333,4.631
224,7,363,4.39
224,7,393,4.925
224,7,423,5.36
224,7,453,5.798
224,7,483,5.911
224,7,513,6
224,7,543,6.519
224,7,573,6.301
224,7,603,7.108
224,7,633,7.892
224,7,663,8.584
224,7,693,10.801
224,7,723,11.035
224,7,753,11.38
224,7,783,11.277
224,7,813,11.085
224,7,843,11.503
224,7,873,11.968
224,7,903,12.13
224,7,933,12.806
224,7,963,13.474
224,7,993,12.952
224,7,1023,12.564
224,6,3,0.101
224,6,33,0.457
224,6,63,0.742
224,6,93,1.218
224,6,123,1.593
224,6,153,2.146
224,6,183,2.632
224,6,213,2.873
224,6,243,3.049
224,6,273,3.271
224,6,303,3.662
224,6,333,4.082
224,6,363,4.415
224,6,393,4.799
224,6,423,4.929
224,6,453,5.529
224,6,483,5.87
224,6,513,6.099
224,6,543,6.389
224,6,573,6.897
224,6,603,7.06
224,6,633,7.443
224,6,663,7.938
224,6,693,9.367
224,6,723,10.455
224,6,753,9.895
224,6,783,10.043
224,6,813,10.335
224,6,843,10.905
224,6,873,11.347
224,6,903,11.514
224,6,933,12.792
224,6,963,12.452
224,6,993,12.597
224,6,1023,12.882
224,1,3,0.085
224,1,33,0.145
224,1,63,0.233
224,1,93,0.403
224,1,123,0.543
224,1,153,0.677
224,1,183,0.798
224,1,213,0.925
224,1,243,1.061
224,1,273,1.239
224,1,303,1.295
224,1,333,1.376
224,1,363,1.511
224,1,393,1.605
224,1,423,1.73
224,1,453,1.827
224,1,483,1.933
224,1,513,2.058
224,1,543,2.177
224,1,573,2.264
224,1,603,2.391
224,1,633,2.492
224,1,663,2.582
224,1,693,3.826
224,1,723,3.566
224,1,753,3.68
224,1,783,3.926
224,1,813,3.973
224,1,843,4.12
224,1,873,4.271
224,1,903,4.243
224,1,933,4.46
224,1,963,4.711
224,1,993,4.798
224,1,1023,4.923
112,56,3,0.061
112,56,33,0.145
112,56,63,0.219
112,56,93,0.291
112,56,123,0.388
112,56,153,0.554
112,56,183,0.54
112,56,213,0.618
112,56,243,0.712
112,56,273,0.785
112,56,303,0.849
112,56,333,0.935
112,56,363,1.014
112,56,393,1.095
112,56,423,1.16
112,56,453,1.219
112,56,483,1.419
112,56,513,1.505
112,56,543,1.495
112,56,573,1.527
112,56,603,1.614
112,56,633,1.697
112,56,663,1.768
112,56,693,1.484
112,56,723,1.819
112,56,753,1.897
112,56,783,1.934
112,56,813,1.7
112,56,843,2.094
112,56,873,2.159
112,56,903,2.239
112,56,933,2.308
112,56,963,2.375
112,56,993,2.439
112,56,1023,2.119
112,32,3,0.053
112,32,33,0.195
112,32,63,0.254
112,32,93,0.288
112,32,123,0.409
112,32,153,0.502
112,32,183,0.471
112,32,213,0.555
112,32,243,0.598
112,32,273,0.666
112,32,303,0.73
112,32,333,0.788
112,32,363,0.86
112,32,393,0.999
112,32,423,1.083
112,32,453,1.128
112,32,483,1.22
112,32,513,1.28
112,32,543,1.333
112,32,573,1.395
112,32,603,1.468
112,32,633,1.532
112,32,663,1.593
112,32,693,1.658
112,32,723,1.725
112,32,753,1.769
112,32,783,1.855
112,32,813,1.926
112,32,843,1.953
112,32,873,2.028
112,32,903,2.103
112,32,933,2.247
112,32,963,2.237
112,32,993,2.304
112,32,1023,2.346
112,28,3,0.054
112,28,33,0.188
112,28,63,0.259
112,28,93,0.323
112,28,123,0.341
112,28,153,0.438
112,28,183,0.385
112,28,213,0.442
112,28,243,0.494
112,28,273,0.561
112,28,303,0.591
112,28,333,0.659
112,28,363,0.713
112,28,393,0.755
112,28,423,0.792
112,28,453,0.845
112,28,483,0.903
112,28,513,1.03
112,28,543,1.069
112,28,573,1.127
112,28,603,1.172
112,28,633,1.258
112,28,663,1.297
112,28,693,1.327
112,28,723,1.386
112,28,753,1.434
112,28,783,1.484
112,28,813,1.563
112,28,843,1.578
112,28,873,1.638
112,28,903,1.684
112,28,933,1.736
112,28,963,1.758
112,28,993,1.811
112,28,1023,1.85
112,27,3,0.052
112,27,33,0.185
112,27,63,0.268
112,27,93,0.339
112,27,123,0.457
112,27,153,0.55
112,27,183,0.532
112,27,213,0.61
112,27,243,0.688
112,27,273,0.791
112,27,303,0.844
112,27,333,0.933
112,27,363,1.012
112,27,393,1.104
112,27,423,1.15
112,27,453,1.229
112,27,483,1.289
112,27,513,1.391
112,27,543,1.481
112,27,573,1.575
112,27,603,1.661
112,27,633,1.773
112,27,663,1.791
112,27,693,1.894
112,27,723,1.963
112,27,753,2.011
112,27,783,2.144
112,27,813,2.178
112,27,843,2.258
112,27,873,2.305
112,27,903,2.387
112,27,933,2.464
112,27,963,2.516
112,27,993,2.646
112,27,1023,2.69
112,14,3,0.053
112,14,33,0.11
112,14,63,0.28
112,14,93,0.263
112,14,123,0.375
112,14,153,0.429
112,14,183,0.379
112,14,213,0.429
112,14,243,0.49
112,14,273,0.54
112,14,303,0.601
112,14,333,0.638
112,14,363,0.687
112,14,393,0.748
112,14,423,0.875
112,14,453,0.974
112,14,483,1.023
112,14,513,0.98
112,14,543,0.995
112,14,573,1.045
112,14,603,1.102
112,14,633,1.26
112,14,663,1.22
112,14,693,1.232
112,14,723,1.43
112,14,753,1.403
112,14,783,1.378
112,14,813,1.447
112,14,843,1.484
112,14,873,1.527
112,14,903,1.57
112,14,933,1.621
112,14,963,1.695
112,14,993,1.733
112,14,1023,1.79
112,13,3,0.049
112,13,33,0.143
112,13,63,0.244
112,13,93,0.31
112,13,123,0.388
112,13,153,0.544
112,13,183,0.493
112,13,213,0.565
112,13,243,0.632
112,13,273,0.712
112,13,303,0.767
112,13,333,0.849
112,13,363,0.927
112,13,393,0.996
112,13,423,1.058
112,13,453,1.134
112,13,483,1.177
112,13,513,1.321
112,13,543,1.317
112,13,573,1.418
112,13,603,1.484
112,13,633,1.527
112,13,663,1.574
112,13,693,1.638
112,13,723,1.721
112,13,753,1.793
112,13,783,1.836
112,13,813,1.915
112,13,843,2.031
112,13,873,2.089
112,13,903,2.105
112,13,933,2.176
112,13,963,2.237
112,13,993,2.305
112,13,1023,2.385
112,8,3,0.05
112,8,33,0.131
112,8,63,0.186
112,8,93,0.246
112,8,123,0.313
112,8,153,0.483
112,8,183,0.48
112,8,213,0.566
112,8,243,0.592
112,8,273,0.682
112,8,303,0.737
112,8,333,0.806
112,8,363,0.877
112,8,393,0.975
112,8,423,1.024
112,8,453,1.027
112,8,483,1.079
112,8,513,1.149
112,8,543,1.208
112,8,573,1.271
112,8,603,1.322
112,8,633,1.389
112,8,663,1.44
112,8,693,1.502
112,8,723,1.606
112,8,753,1.643
112,8,783,1.683
112,8,813,1.751
112,8,843,1.806
112,8,873,1.883
112,8,903,1.922
112,8,933,1.959
112,8,963,2.015
112,8,993,2.091
112,8,1023,2.165
112,7,3,0.047
112,7,33,0.138
112,7,63,0.199
112,7,93,0.26
112,7,123,0.333
112,7,153,0.404
112,7,183,0.47
112,7,213,0.535
112,7,243,0.62
112,7,273,0.687
112,7,303,0.762
112,7,333,0.811
112,7,363,0.915
112,7,393,0.984
112,7,423,1.027
112,7,453,1.111
112,7,483,1.187
112,7,513,1.256
112,7,543,1.311
112,7,573,1.402
112,7,603,1.45
112,7,633,1.517
112,7,663,1.577
112,7,693,1.64
112,7,723,1.72
112,7,753,1.768
112,7,783,1.807
112,7,813,1.884
112,7,843,1.966
112,7,873,2.039
112,7,903,2.106
112,7,933,2.153
112,7,963,2.209
112,7,993,2.287
