HW,Cin,latency
224,3,0.232
224,8,0.507
224,13,0.628
224,18,0.751
224,23,0.825
224,28,1.01
224,33,1.146
224,38,1.315
224,43,1.142
224,48,1.509
224,53,1.699
224,58,1.875
224,63,1.949
224,68,2.133
224,73,2.37
224,78,2.438
224,83,2.589
224,88,2.695
224,93,2.889
224,98,3.521
224,103,3.224
224,108,3.309
224,113,3.673
224,118,3.808
224,123,3.863
224,128,3.946
224,133,4.055
224,138,4.339
224,143,4.324
224,148,4.452
224,153,4.677
224,158,4.85
224,163,4.913
224,168,5.012
224,173,5.156
224,178,5.349
224,183,5.542
224,188,5.722
224,193,5.754
224,198,5.782
224,203,5.99
224,208,6.078
224,213,6.369
224,218,6.399
224,223,6.553
224,228,6.83
224,233,7.069
224,238,7.516
224,243,8.374
224,248,8.348
224,253,7.876
224,258,8.186
224,263,8.321
224,268,8.32
224,273,8.471
224,278,8.684
224,283,8.837
224,288,8.998
224,293,9.28
224,298,9.468
224,303,9.448
224,308,9.643
224,313,9.689
224,318,9.799
224,323,10.007
224,328,10.283
224,333,10.476
224,338,10.48
224,343,10.602
224,348,10.628
224,353,10.747
224,358,11.056
224,363,11.101
224,368,11.189
224,373,11.4
224,378,11.469
224,383,11.6
224,388,11.762
224,393,11.909
224,398,12.12
224,403,12.199
224,408,12.269
224,413,12.464
224,418,12.6
224,423,12.716
224,428,12.936
224,433,13.103
224,438,13.3
224,443,13.341
224,448,13.465
224,453,13.686
224,458,13.726
224,463,13.92
224,468,14.103
224,473,14.377
224,478,14.338
224,483,14.517
224,488,14.582
224,493,14.758
224,498,14.936
224,503,15.202
224,508,15.204
224,513,15.402
224,518,15.559
224,523,15.71
224,528,15.742
224,533,15.97
224,538,16.164
224,543,16.296
224,548,16.418
224,553,16.921
224,558,16.75
224,563,16.917
224,568,17.031
224,573,17.162
224,578,17.26
224,583,17.469
224,588,17.738
224,593,17.751
224,598,17.879
224,603,18.102
224,608,18.369
224,613,18.413
224,618,18.402
224,623,18.486
224,628,18.835
224,633,18.935
224,638,19.39
224,643,19.884
224,648,20.043
224,653,19.77
224,658,19.744
224,663,19.808
224,668,19.963
224,673,26.464
224,678,26.888
224,683,27.062
224,688,27.073
224,693,25.407
224,698,25.629
224,703,25.875
224,708,25.987
224,713,26.013
224,718,25.948
224,723,26.597
224,728,27.74
224,733,27.197
224,738,26.728
224,743,26.64
224,748,26.695
224,753,27.13
224,758,27.836
224,763,27.057
224,768,27.331
224,773,27.254
224,778,27.324
224,783,27.486
224,788,29.901
224,793,28.218
224,798,28.009
224,803,28.045
224,808,28.522
224,813,28.522
224,818,28.527
224,823,28.794
224,828,28.928
224,833,29.266
224,838,28.845
224,843,28.979
224,848,29.682
224,853,29.472
224,858,30.002
224,863,29.528
224,868,29.81
224,873,30.015
224,878,29.939
224,883,30.035
224,888,29.992
224,893,30.404
224,898,30.261
224,903,30.903
224,908,30.966
224,913,30.935
224,918,31.188
224,923,31.269
224,928,31.349
224,933,31.586
224,938,32.12
224,943,32
224,948,31.854
224,953,31.919
224,958,32.171
224,963,32.213
224,968,32.131
224,973,32.655
224,978,33.077
224,983,32.865
224,988,32.876
224,993,33.283
224,998,33.295
224,1003,33.577
224,1008,33.625
224,1013,34.219
224,1018,34.042
224,1023,33.96
112,3,0.112
112,8,0.173
112,13,0.213
112,18,0.267
112,23,0.311
112,28,0.344
112,33,0.408
112,38,0.441
112,43,0.473
112,48,0.525
112,53,0.566
112,58,0.593
112,63,0.615
112,68,0.666
112,73,0.692
112,78,0.721
112,83,0.768
112,88,0.8
112,93,0.842
112,98,0.901
112,103,0.892
112,108,0.959
112,113,0.983
112,118,1.021
112,123,1.094
112,128,1.105
112,133,1.114
112,138,1.177
112,143,1.182
112,148,1.244
112,153,1.297
112,158,1.286
112,163,1.383
112,168,1.066
112,173,1.371
112,178,1.435
112,183,1.483
112,188,1.478
112,193,1.523
112,198,1.574
112,203,1.615
112,208,1.645
112,213,1.692
112,218,1.711
112,223,1.727
112,228,1.788
112,233,1.462
112,238,2.025
112,243,2.043
112,248,2.038
112,253,1.741
112,258,2.139
112,263,2.204
112,268,2.271
112,273,1.871
112,278,2.314
112,283,2.356
112,288,2.393
112,293,1.995
112,298,2.483
112,303,2.535
112,308,2.578
112,313,2.15
112,318,2.619
112,323,2.678
112,328,2.714
112,333,2.282
112,338,2.844
112,343,2.858
112,348,2.888
112,353,2.932
112,358,3.069
112,363,3.035
112,368,3.081
112,373,3.285
112,378,3.146
112,383,3.168
112,388,3.233
112,393,3.339
112,398,3.308
112,403,3.369
112,408,3.425
112,413,3.38
112,418,3.495
112,423,3.518
112,428,3.52
112,433,3.578
112,438,3.591
112,443,3.635
112,448,3.659
112,453,3.76
112,458,3.768
112,463,3.804
112,468,3.817
112,473,3.868
112,478,3.898
112,483,3.945
112,488,3.946
112,493,4.079
112,498,4.073
112,503,4.11
112,508,4.161
112,513,4.179
112,518,4.232
112,523,4.361
112,528,4.28
112,533,4.333
112,538,4.344
112,543,4.459
112,548,4.42
112,553,4.465
112,558,4.493
112,563,4.541
112,568,4.54
112,573,4.645
112,578,4.636
112,583,4.708
112,588,4.831
112,593,4.939
112,598,4.855
112,603,4.85
112,608,4.897
112,613,4.927
112,618,5.016
112,623,5.046
112,628,5.086
112,633,5.057
112,638,5.196
112,643,5.134
112,648,5.153
112,653,5.282
112,658,5.271
112,663,5.343
112,668,5.313
112,673,5.38
112,678,5.396
112,683,5.427
112,688,5.51
112,693,5.544
112,698,5.54
112,703,5.614
112,708,5.651
112,713,5.643
112,718,5.771
112,723,5.78
112,728,5.808
112,733,5.888
112,738,5.917
112,743,5.877
112,748,5.928
112,753,6.013
112,758,6.021
112,763,6.067
112,768,6.103
112,773,6.105
112,778,6.207
112,783,6.179
112,788,6.265
112,793,6.33
112,798,6.302
112,803,6.399
112,808,6.464
112,813,6.53
112,818,6.573
112,823,6.618
112,828,6.565
112,833,6.62
112,838,8.063
112,843,6.984
112,848,7.07
112,853,6.86
112,858,6.783
112,863,6.913
112,868,6.806
112,873,6.975
112,878,6.898
112,883,6.948
112,888,6.998
112,893,7.569
112,898,7.078
112,903,7.044
112,908,7.165
112,913,7.171
112,918,7.215
112,923,7.209
112,928,7.26
112,933,7.321
112,938,7.434
112,943,7.442
112,948,7.699
112,953,7.48
112,958,7.505
112,963,7.612
112,968,7.645
112,973,7.667
112,978,7.663
112,983,7.804
112,988,7.732
112,993,14.885
112,998,12.486
112,1003,9.434
112,1008,8.518
112,1013,8.492
112,1018,9.215
112,1023,9.057
56,3,0.062
56,8,0.088
56,13,0.113
56,18,0.135
56,23,0.172
56,28,0.181
56,33,0.176
56,38,0.205
56,43,0.257
56,48,0.235
56,53,0.228
56,58,0.291
56,63,0.29
56,68,0.295
56,73,0.289
56,78,0.338
56,83,0.343
56,88,0.329
56,93,0.36
56,98,0.349
56,103,0.376
56,108,0.378
56,113,0.381
56,118,0.385
56,123,0.405
56,128,0.491
56,133,0.473
56,138,0.472
56,143,0.494
56,148,0.515
56,153,0.53
56,158,0.496
56,163,0.53
56,168,0.523
56,173,0.531
56,178,0.556
56,183,0.603
56,188,0.621
56,193,0.588
56,198,0.628
56,203,0.61
56,208,0.608
56,213,0.685
56,218,0.62
56,223,0.654
56,228,0.673
56,233,0.673
56,238,0.677
56,243,0.708
56,248,0.706
56,253,0.702
56,258,0.717
56,263,0.728
56,268,0.714
56,273,0.745
56,278,0.738
56,283,0.752
56,288,0.765
56,293,0.765
56,298,0.786
56,303,0.791
56,308,0.805
56,313,0.795
56,318,0.814
56,323,0.846
56,328,0.851
56,333,0.869
56,338,0.879
56,343,0.853
56,348,0.897
56,353,0.904
56,358,0.932
56,363,0.934
56,368,0.942
56,373,0.964
56,378,0.983
56,383,0.995
56,388,1.006
56,393,1.016
56,398,1.02
56,403,1.03
56,408,1.06
56,413,1.067
56,418,1.073
56,423,1.086
56,428,1.077
56,433,1.098
56,438,1.109
56,443,1.131
56,448,1.165
56,453,1.148
56,458,1.158
56,463,1.15
56,468,1.151
56,473,1.157
56,478,1.179
56,483,1.209
56,488,1.203
56,493,1.247
56,498,1.218
56,503,1.235
56,508,1.232
56,513,1.233
56,518,1.274
56,523,1.243
56,528,1.263
56,533,1.323
56,538,1.33
56,543,1.316
56,548,1.327
56,553,1.356
56,558,1.351
56,563,1.353
56,568,1.369
56,573,1.365
56,578,1.425
56,583,1.406
56,588,1.41
56,593,1.404
56,598,1.443
56,603,1.446
56,608,1.49
56,613,1.492
56,618,1.467
56,623,1.514
56,628,1.516
56,633,1.497
56,638,1.501
56,643,1.529
56,648,1.581
56,653,1.57
56,658,1.649
56,663,1.594
56,668,1.666
56,673,1.314
56,678,1.568
56,683,1.57
56,688,1.615
56,693,1.662
56,698,1.662
56,703,1.591
56,708,1.623
56,713,1.64
56,718,1.651
56,723,1.644
56,728,1.676
56,733,1.669
56,738,1.41
56,743,1.705
56,748,1.691
56,753,1.732
56,758,1.451
56,763,1.737
56,768,1.753
56,773,1.749
56,778,1.469
56,783,1.764
56,788,1.793
56,793,1.787
56,798,1.528
56,803,1.814
56,808,1.847
56,813,1.864
56,818,1.562
56,823,1.87
56,828,1.928
56,833,1.875
56,838,1.574
56,843,1.89
56,848,1.902
56,853,1.957
56,858,1.641
56,863,1.944
56,868,1.944
56,873,1.986
56,878,1.653
56,883,1.973
56,888,1.98
56,893,1.993
56,898,1.691
56,903,2.027
56,908,2.026
56,913,2.092
56,918,1.778
56,923,2.095
56,928,2.096
56,933,2.094
56,938,1.767
56,943,2.132
56,948,2.133
56,953,2.133
56,958,1.804
56,963,2.207
56,968,2.149
56,973,2.175
56,978,1.835
56,983,2.223
56,988,2.208
56,993,2.265
56,998,1.886
56,1003,2.251
56,1008,2.259
56,1013,2.266
56,1018,1.915
56,1023,2.296
32,3,0.049
32,8,0.062
32,13,0.065
32,18,0.073
32,23,0.078
32,28,0.082
32,33,0.162
32,38,0.151
32,43,0.14
32,48,0.145
32,53,0.182
32,58,0.166
32,63,0.155
32,68,0.175
32,73,0.186
32,78,0.173
32,83,0.192
32,88,0.21
32,93,0.232
32,98,0.225
32,103,0.252
32,108,0.216
32,113,0.221
32,118,0.25
32,123,0.234
32,128,0.291
32,133,0.249
32,138,0.252
32,143,0.338
32,148,0.291
32,153,0.273
32,158,0.286
32,163,0.292
32,168,0.305
32,173,0.336
32,178,0.29
32,183,0.347
32,188,0.34
32,193,0.31
32,198,0.349
