HW,kernel,stride,Cin,Cout,FLOPs,latency
224,1,1,3,3,903168,0.173
224,1,1,3,32,9633792,0.669
224,1,1,3,64,19267584,1.248
224,1,1,3,128,38535168,2.661
224,1,1,3,256,77070336,6.157
224,1,1,3,512,154140672,11.911
224,1,1,3,1024,308281344,29.182
224,1,1,32,3,9633792,0.457
224,1,1,32,32,102760448,1.87
224,1,1,32,64,205520896,2.433
224,1,1,32,128,411041792,4.045
224,1,1,32,256,822083584,7.088
224,1,1,32,512,1644167168,13.55
224,1,1,32,1024,3288334336,29.882
224,1,1,64,3,19267584,0.786
224,1,1,64,32,205520896,2.683
224,1,1,64,64,411041792,3.173
224,1,1,64,128,822083584,5.71
224,1,1,64,256,1644167168,9.932
224,1,1,64,512,3288334336,17.23
224,1,1,64,1024,6576668672,36.053
224,1,1,128,3,38535168,1.38
224,1,1,128,32,411041792,5.578
224,1,1,128,64,822083584,5.278
224,1,1,128,128,1644167168,9.003
224,1,1,128,256,3288334336,15.231
224,1,1,128,512,6576668672,23.213
224,1,1,128,1024,13153337344,50.458
224,1,1,256,3,77070336,2.66
224,1,1,256,32,822083584,6.276
224,1,1,256,64,1644167168,8.96
224,1,1,256,128,3288334336,13.958
224,1,1,256,256,6576668672,21.102
224,1,1,256,512,13153337344,39.275
224,1,1,256,1024,26306674688,80.733
224,1,1,512,3,154140672,5.386
224,1,1,512,32,1644167168,13.264
224,1,1,512,64,3288334336,14.219
224,1,1,512,128,6576668672,19.882
224,1,1,512,256,13153337344,38.958
224,1,1,512,512,26306674688,72.994
224,1,1,512,1024,52613349376,153.21
224,1,1,1024,3,308281344,14.078
224,1,1,1024,32,3288334336,28.163
224,1,1,1024,64,6576668672,31.199
224,1,1,1024,128,13153337344,50.363
224,1,1,1024,256,26306674688,88.442
224,1,1,1024,512,52613349376,178.31
224,1,1,1024,1024,1.05227E+11,352.25
224,1,2,3,3,225792,0.132
224,1,2,3,32,2408448,0.397
224,1,2,3,64,4816896,0.537
224,1,2,3,128,9633792,0.838
224,1,2,3,256,19267584,1.674
224,1,2,3,512,38535168,3.199
224,1,2,3,1024,77070336,6.42
224,1,2,32,3,2408448,0.596
224,1,2,32,32,25690112,1
224,1,2,32,64,51380224,1.223
224,1,2,32,128,102760448,2.182
224,1,2,32,256,205520896,2.225
224,1,2,32,512,411041792,4.155
224,1,2,32,1024,822083584,7.212
224,1,2,64,3,4816896,1.039
224,1,2,64,32,51380224,2.314
224,1,2,64,64,102760448,1.852
224,1,2,64,128,205520896,2.54
224,1,2,64,256,411041792,3.03
224,1,2,64,512,822083584,5.814
224,1,2,64,1024,1644167168,10.325
224,1,2,128,3,9633792,1.7
224,1,2,128,32,102760448,2.916
224,1,2,128,64,205520896,3.109
224,1,2,128,128,411041792,4.055
224,1,2,128,256,822083584,5.604
224,1,2,128,512,1644167168,9.598
224,1,2,128,1024,3288334336,15.581
224,1,2,256,3,19267584,2.972
224,1,2,256,32,205520896,4.271
224,1,2,256,64,411041792,4.7
224,1,2,256,128,822083584,6.493
224,1,2,256,256,1644167168,10.047
224,1,2,256,512,3288334336,15.198
224,1,2,256,1024,6576668672,21.755
224,1,2,512,3,38535168,5.484
224,1,2,512,32,411041792,7.977
224,1,2,512,64,822083584,8.685
224,1,2,512,128,1644167168,12.7
224,1,2,512,256,3288334336,18.637
224,1,2,512,512,6576668672,23.641
224,1,2,512,1024,13153337344,41.975
224,1,2,1024,3,77070336,12.77
224,1,2,1024,32,822083584,18.001
224,1,2,1024,64,1644167168,19.771
224,1,2,1024,128,3288334336,23.505
224,1,2,1024,256,6576668672,29.586
224,1,2,1024,512,13153337344,49.975
224,1,2,1024,1024,26306674688,91.271
224,1,4,3,3,56448,0.097
224,1,4,3,32,602112,0.328
224,1,4,3,64,1204224,0.298
224,1,4,3,128,2408448,0.592
224,1,4,3,256,4816896,0.69
224,1,4,3,512,9633792,1.35
224,1,4,3,1024,19267584,1.743
224,1,4,32,3,602112,0.481
224,1,4,32,32,6422528,0.678
224,1,4,32,64,12845056,0.645
224,1,4,32,128,25690112,0.714
224,1,4,32,256,51380224,0.881
224,1,4,32,512,102760448,1.66
224,1,4,32,1024,205520896,2.619
224,1,4,64,3,1204224,0.616
224,1,4,64,32,12845056,0.975
224,1,4,64,64,25690112,0.824
224,1,4,64,128,51380224,1.187
224,1,4,64,256,102760448,1.616
224,1,4,64,512,205520896,2.017
224,1,4,64,1024,411041792,2.791
224,1,4,128,3,2408448,1.105
224,1,4,128,32,25690112,1.298
224,1,4,128,64,51380224,1.845
224,1,4,128,128,102760448,1.874
224,1,4,128,256,205520896,2.474
224,1,4,128,512,411041792,3.628
224,1,4,128,1024,822083584,5.243
224,1,4,256,3,4816896,1.865
224,1,4,256,32,51380224,2.611
224,1,4,256,64,102760448,2.906
224,1,4,256,128,205520896,3.186
224,1,4,256,256,411041792,3.954
224,1,4,256,512,822083584,5.59
224,1,4,256,1024,1644167168,8.952
224,1,4,512,3,9633792,3.096
224,1,4,512,32,102760448,3.812
224,1,4,512,64,205520896,4.144
224,1,4,512,128,411041792,5.051
224,1,4,512,256,822083584,6.665
224,1,4,512,512,1644167168,9.942
224,1,4,512,1024,3288334336,14.914
224,1,4,1024,3,19267584,7.452
224,1,4,1024,32,205520896,8.448
224,1,4,1024,64,411041792,8.908
224,1,4,1024,128,822083584,11.331
224,1,4,1024,256,1644167168,15.758
224,1,4,1024,512,3288334336,19.357
224,1,4,1024,1024,6576668672,26.923
224,3,1,3,3,8128512,0.754
224,3,1,3,32,86704128,2.074
224,3,1,3,64,173408256,2.862
224,3,1,3,128,346816512,3.868
224,3,1,3,256,693633024,7.09
224,3,1,3,512,1387266048,13.264
224,3,1,3,1024,2774532096,28.931
224,3,1,32,3,86704128,6.565
224,3,1,32,32,924844032,10.817
224,3,1,32,64,1849688064,13.393
224,3,1,32,128,3699376128,18.894
224,3,1,32,256,7398752256,26.56
224,3,1,32,512,14797504512,50.595
224,3,1,32,1024,29595009024,96.552
224,3,1,64,3,173408256,12.307
224,3,1,64,32,1849688064,20.535
224,3,1,64,64,3699376128,22.446
224,3,1,64,128,7398752256,31.865
224,3,1,64,256,14797504512,51.888
224,3,1,64,512,29595009024,98.408
224,3,1,64,1024,59190018048,180.81
224,3,1,128,3,346816512,30.349
224,3,1,128,32,3699376128,43.354
224,3,1,128,64,7398752256,49.568
224,3,1,128,128,14797504512,66.125
224,3,1,128,256,29595009024,106.796
224,3,1,128,512,59190018048,198.255
224,3,1,128,1024,1.1838E+11,375.844
224,3,1,256,3,693633024,53.879
224,3,1,256,32,7398752256,83.771
224,3,1,256,64,14797504512,87.908
224,3,1,256,128,29595009024,134.692
224,3,1,256,256,59190018048,222.602
224,3,1,256,512,1.1838E+11,399.632
224,3,1,256,1024,2.3676E+11,765.935
224,3,1,512,3,1387266048,102.284
224,3,1,512,32,14797504512,167.785
224,3,1,512,64,29595009024,170.188
224,3,1,512,128,59190018048,263.104
224,3,1,512,256,1.1838E+11,449.588
224,3,1,512,512,2.3676E+11,802.115
224,3,1,512,1024,4.7352E+11,1523.351
224,3,1,1024,3,2774532096,225.599
224,3,1,1024,32,29595009024,322.537
224,3,1,1024,64,59190018048,348.462
224,3,1,1024,128,1.1838E+11,533.518
224,3,1,1024,256,2.3676E+11,912.027
224,3,1,1024,512,4.7352E+11,1683.908
224,3,1,1024,1024,9.4704E+11,3091.526
224,3,2,3,3,2032128,0.395
224,3,2,3,32,21676032,1.084
224,3,2,3,64,43352064,1.195
224,3,2,3,128,86704128,1.474
224,3,2,3,256,173408256,2.342
224,3,2,3,512,346816512,3.819
224,3,2,3,1024,693633024,6.827
224,3,2,32,3,21676032,2.595
224,3,2,32,32,231211008,3.651
224,3,2,32,64,462422016,4.523
224,3,2,32,128,924844032,6.536
224,3,2,32,256,1849688064,10.125
224,3,2,32,512,3699376128,16.267
224,3,2,32,1024,7398752256,24.894
224,3,2,64,3,43352064,5.223
224,3,2,64,32,462422016,8.02
224,3,2,64,64,924844032,9.075
224,3,2,64,128,1849688064,13.191
224,3,2,64,256,3699376128,18.047
224,3,2,64,512,7398752256,26.443
224,3,2,64,1024,14797504512,48.352
224,3,2,128,3,86704128,11.701
224,3,2,128,32,924844032,15.408
224,3,2,128,64,1849688064,17.129
224,3,2,128,128,3699376128,25.598
224,3,2,128,256,7398752256,34.149
224,3,2,128,512,14797504512,51.552
224,3,2,128,1024,29595009024,95.563
224,3,2,256,3,173408256,19.021
224,3,2,256,32,1849688064,30.321
224,3,2,256,64,3699376128,33.538
224,3,2,256,128,7398752256,46.813
224,3,2,256,256,14797504512,65.794
224,3,2,256,512,29595009024,103.908
224,3,2,256,1024,59190018048,188.919
