HW,kernel,stride,Cin,FLOPs,latency
224,1,1,3,1204224,0.311
224,1,1,6,4214784,0.531
224,1,1,8,7225344,0.928
224,1,1,16,27295744,2.093
224,1,1,32,105971712,4.001
224,1,1,64,417464320,8.419
224,1,1,128,1657012224,15.284
224,1,1,256,6602358784,27.205
224,1,1,512,26358054912,51.279
224,1,1,1024,1.05329E+11,120.74
224,1,2,3,303750,0.238
224,1,2,6,1063125,0.355
224,1,2,8,1822500,0.385
224,1,2,16,6885000,0.826
224,1,2,32,26730000,1.519
224,1,2,64,105300000,2.839
224,1,2,128,417960000,5.095
224,1,2,256,1665360000,11.511
224,1,2,512,6648480000,21.319
224,1,2,1024,26568000000,49.026
224,1,4,3,77293.5,0.033
224,1,4,6,270527.25,0.149
224,1,4,8,463761,0.266
224,1,4,16,1751986,0.407
224,1,4,32,6801828,0.69
224,1,4,64,26795080,0.672
224,1,4,128,106355856,2.321
224,1,4,256,423774496,5.009
224,1,4,512,1691800128,10.25
224,1,4,1024,6760604800,26.781
224,3,1,3,3580488,0.207
224,3,1,6,8951220,0.322
224,3,1,8,13526288,0.497
224,3,1,16,39783200,0.734
224,3,1,32,130488896,1.168
224,3,1,64,464667776,1.514
224,3,1,128,1744095488,3.592
224,3,1,256,6747230720,6.787
224,3,1,512,26530620416,13.829
224,3,1,1024,1.05206E+11,33.309
224,3,2,3,903168,0.614
224,3,2,6,2257920,1.061
224,3,2,8,3411968,1.502
224,3,2,16,10035200,2.807
224,3,2,32,32915456,5.713
224,3,2,64,117211136,9.414
224,3,2,128,439943168,19.372
224,3,2,256,1701969920,36.057
224,3,2,512,6692274176,65.099
224,3,2,1024,26537885696,126.766
224,3,4,3,229842,0.287
224,3,4,6,574605,0.508
224,3,4,8,868292,0.925
224,3,4,16,2553800,1.443
224,3,4,32,8376464,2.651
224,3,4,64,29828384,5.105
224,3,4,128,111958592,10.523
224,3,4,256,433124480,19.797
224,3,4,512,1703078144,34.31
224,3,4,1024,6753473024,65.755
224,5,1,3,8279712,2.713
224,5,1,6,18333648,5.081
224,5,1,8,26021952,6.512
224,5,1,16,64660608,11.135
224,5,1,32,179788032,20.315
224,5,1,64,561443328,41.779
224,5,1,128,1930355712,89.905
224,5,1,256,7090587648,158.415
224,5,1,512,27100680192,297.892
224,5,1,1024,1.05879E+11,632.647
224,5,2,3,2088618,1.948
224,5,2,6,4624797,3.582
224,5,2,8,6564228,4.415
224,5,2,16,16311112,7.486
224,5,2,32,45352848,12.435
224,5,2,64,141628192,29.91
224,5,2,128,486946368,55.924
224,5,2,256,1788652672,114.857
224,5,2,512,6836345088,269.445
224,5,2,1024,26708849152,486.35
224,5,4,3,531562.5,0.562
224,5,4,6,1177031.25,0.829
224,5,4,8,1670625,1.147
224,5,4,16,4151250,2.01
224,5,4,32,11542500,3.951
224,5,4,64,36045000,7.391
224,5,4,128,123930000,14.242
224,5,4,256,455220000,26.615
224,5,4,512,1739880000,47.477
224,5,4,1024,6797520000,97.91
224,7,1,3,15238392,2.699
224,7,1,6,32235060,5.019
224,7,1,8,44542992,6.573
224,7,1,16,101589280,12.946
224,7,1,32,253191744,24.846
224,7,1,64,706436224,33.478
224,7,1,128,2213083392,95.956
224,7,1,256,7627010560,185.07
224,7,1,512,28057396224,381.194
224,7,1,1024,1.07328E+11,743.174
224,7,2,3,3844152,3.147
224,7,2,6,8131860,5.549
224,7,2,8,11236752,7.379
224,7,2,16,25627680,13.355
224,7,2,32,63872064,21.46
224,7,2,64,178210944,45.172
224,7,2,128,558289152,79.824
224,7,2,256,1924047360,182.534
224,7,2,512,7077970944,382.066
224,7,2,1024,27075446784,583.498
224,7,4,3,978432,0.495
224,7,4,6,2069760,1.102
224,7,4,8,2860032,1.467
224,7,4,16,6522880,2.669
224,7,4,32,16257024,5.19
224,7,4,64,45359104,10.154
224,7,4,128,142098432,20.165
224,7,4,256,489717760,38.096
224,7,4,512,1801519104,74.289
224,7,4,1024,6891372544,151.035
224,9,1,3,24393600,6.407
224,9,1,6,50529600,13.014
224,9,1,8,68921600,12.999
224,9,1,16,150233600,22.821
224,9,1,32,350028800,47.194
224,9,1,64,898304000,87.169
224,9,1,128,2589593600,186.619
224,9,1,256,8351129600,349.574
224,9,1,512,29390028800,707.098
224,9,1,1024,1.09531E+11,1290.047
224,9,2,3,6153966,3.655
224,9,2,6,12747501,6.91
224,9,2,8,17387396,9.158
224,9,2,16,37900616,16.731
224,9,2,32,88304528,29.194
224,9,2,64,226622240,63.394
224,9,2,128,653297216,116.429
224,9,2,256,2106805376,251.913
224,9,2,512,7414454528,507.247
224,9,2,1024,27632284160,918.852
224,9,4,3,1566463.5,0.812
224,9,4,6,3244817.25,1.438
224,9,4,8,4425881,2
224,9,4,16,9647426,3.719
224,9,4,32,22477508,7.047
224,9,4,64,57685640,13.809
224,9,4,128,166293776,27.943
224,9,4,256,536277536,55.203
224,9,4,512,1887315008,110.457
224,9,4,1024,7033669760,223.747
112,1,1,3,301056,0.034
112,1,1,6,1053696,0.286
112,1,1,8,1806336,0.078
112,1,1,16,6823936,0.215
112,1,1,32,26492928,0.577
112,1,1,64,104366080,1.056
112,1,1,128,414253056,2.226
112,1,1,256,1650589696,4.326
112,1,1,512,6589513728,12.527
112,1,1,1024,26332364800,21.84
112,1,2,3,76614,0.032
112,1,2,6,268149,0.115
112,1,2,8,459684,0.136
112,1,2,16,1736584,0.203
112,1,2,32,6742032,0.391
112,1,2,64,26559520,0.694
112,1,2,128,105420864,1.399
112,1,2,256,420049024,2.493
