in_features,out_features,FLOPs,latency
10,10,190,0.005
10,160,3040,0.005
10,310,5890,0.006
10,460,8740,0.006
10,610,11590,0.007
10,760,14440,0.007
10,910,17290,0.007
10,1060,20140,0.01
10,1210,22990,0.012
10,1360,25840,0.013
10,1510,28690,0.014
10,1660,31540,0.015
10,1810,34390,0.015
10,1960,37240,0.016
10,2110,40090,0.017
10,2260,42940,0.022
10,2410,45790,0.023
10,2560,48640,0.024
10,2710,51490,0.024
10,2860,54340,0.023
10,3010,57190,0.025
10,3160,60040,0.024
10,3310,62890,0.021
10,3460,65740,0.022
10,3610,68590,0.024
10,3760,71440,0.023
10,3910,74290,0.026
10,4060,77140,0.028
10,4210,79990,0.028
10,4360,82840,0.026
10,4510,85690,0.027
10,4660,88540,0.027
10,4810,91390,0.021
10,4960,94240,0.021
10,5110,97090,0.022
10,5260,99940,0.021
10,5410,102790,0.021
10,5560,105640,0.022
10,5710,108490,0.024
10,5860,111340,0.025
10,6010,114190,0.027
10,6160,117040,0.027
10,6310,119890,0.03
10,6460,122740,0.028
10,6610,125590,0.029
10,6760,128440,0.027
10,6910,131290,0.026
10,7060,134140,0.027
10,7210,136990,0.028
10,7360,139840,0.028
10,7510,142690,0.029
10,7660,145540,0.029
10,7810,148390,0.03
10,7960,151240,0.03
10,8110,154090,0.029
160,10,3190,0.007
160,160,51040,0.014
160,310,98890,0.022
160,460,146740,0.028
160,610,194590,0.036
160,760,242440,0.042
160,910,290290,0.05
160,1060,338140,0.056
160,1210,385990,0.06
160,1360,433840,0.064
160,1510,481690,0.08
160,1660,529540,0.071
160,1810,577390,0.072
160,1960,625240,0.076
160,2110,673090,0.08
160,2260,720940,0.08
160,2410,768790,0.093
160,2560,816640,0.088
160,2710,864490,0.096
160,2860,912340,0.091
160,3010,960190,0.098
160,3160,1008040,0.116
160,3310,1055890,0.109
160,3460,1103740,0.134
160,3610,1151590,0.111
160,3760,1199440,0.11
160,3910,1247290,0.12
160,4060,1295140,0.134
160,4210,1342990,0.123
160,4360,1390840,0.13
160,4510,1438690,0.123
160,4660,1486540,0.131
160,4810,1534390,0.133
160,4960,1582240,0.139
160,5110,1630090,0.149
160,5260,1677940,0.146
160,5410,1725790,0.143
160,5560,1773640,0.151
160,5710,1821490,0.158
160,5860,1869340,0.166
160,6010,1917190,0.162
160,6160,1965040,0.154
160,6310,2012890,0.157
160,6460,2060740,0.168
160,6610,2108590,0.174
160,6760,2156440,0.177
160,6910,2204290,0.166
160,7060,2252140,0.167
160,7210,2299990,0.188
160,7360,2347840,0.186
160,7510,2395690,0.188
160,7660,2443540,0.179
160,7810,2491390,0.179
160,7960,2539240,0.211
160,8110,2587090,0.199
310,10,6190,0.007
310,160,99040,0.021
310,310,191890,0.039
310,460,284740,0.053
310,610,377590,0.066
310,760,470440,0.078
310,910,563290,0.077
310,1060,656140,0.088
310,1210,748990,0.084
310,1360,841840,0.092
310,1510,934690,0.101
310,1660,1027540,0.108
310,1810,1120390,0.117
310,1960,1213240,0.126
310,2110,1306090,0.118
310,2260,1398940,0.122
310,2410,1491790,0.135
310,2560,1584640,0.144
310,2710,1677490,0.154
310,2860,1770340,0.161
310,3010,1863190,0.154
310,3160,1956040,0.165
310,3310,2048890,0.184
310,3460,2141740,0.19
310,3610,2234590,0.194
310,3760,2327440,0.201
310,3910,2420290,0.226
310,4060,2513140,0.253
310,4210,2605990,0.206
310,4360,2698840,0.187
310,4510,2791690,0.2
310,4660,2884540,0.244
310,4810,2977390,0.259
310,4960,3070240,0.243
310,5110,3163090,0.245
310,5260,3255940,0.299
310,5410,3348790,0.282
310,5560,3441640,0.287
310,5710,3534490,0.313
310,5860,3627340,0.305
310,6010,3720190,0.336
310,6160,3813040,0.332
310,6310,3905890,0.334
310,6460,3998740,0.366
310,6610,4091590,0.333
310,6760,4184440,0.36
310,6910,4277290,0.388
310,7060,4370140,0.373
310,7210,4462990,0.382
310,7360,4555840,0.435
310,7510,4648690,0.42
310,7660,4741540,0.408
310,7810,4834390,0.446
310,7960,4927240,0.441
310,8110,5020090,0.455
460,10,9190,0.008
460,160,147040,0.029
460,310,284890,0.05
460,460,422740,0.071
460,610,560590,0.074
460,760,698440,0.084
460,910,836290,0.099
460,1060,974140,0.115
460,1210,1111990,0.115
460,1360,1249840,0.113
460,1510,1387690,0.125
460,1660,1525540,0.139
460,1810,1663390,0.153
460,1960,1801240,0.171
460,2110,1939090,0.162
460,2260,2076940,0.181
460,2410,2214790,0.206
460,2560,2352640,0.225
460,2710,2490490,0.213
460,2860,2628340,0.254
460,3010,2766190,0.245
460,3160,2904040,0.3
460,3310,3041890,0.3
460,3460,3179740,0.3
460,3610,3317590,0.334
460,3760,3455440,0.381
460,3910,3593290,0.359
460,4060,3731140,0.4
460,4210,3868990,0.345
460,4360,4006840,0.333
460,4510,4144690,0.335
460,4660,4282540,0.395
460,4810,4420390,0.393
460,4960,4558240,0.398
460,5110,4696090,0.43
460,5260,4833940,0.429
460,5410,4971790,0.446
460,5560,5109640,0.485
460,5710,5247490,0.468
460,5860,5385340,0.528
460,6010,5523190,0.534
460,6160,5661040,0.526
460,6310,5798890,0.57
460,6460,5936740,0.557
460,6610,6074590,0.562
460,6760,6212440,0.643
460,6910,6350290,0.606
460,7060,6488140,0.642
460,7210,6625990,0.648
460,7360,6763840,0.654
460,7510,6901690,0.706
460,7660,7039540,0.674
460,7810,7177390,0.718
460,7960,7315240,0.7
460,8110,7453090,0.73
610,10,12190,0.008
610,160,195040,0.035
610,310,377890,0.062
610,460,560740,0.081
610,610,743590,0.09
610,760,926440,0.104
610,910,1109290,0.106
610,1060,1292140,0.117
610,1210,1474990,0.127
610,1360,1657840,0.165
610,1510,1840690,0.169
610,1660,2023540,0.176
610,1810,2206390,0.198
610,1960,2389240,0.208
610,2110,2572090,0.23
610,2260,2754940,0.247
610,2410,2937790,0.311
610,2560,3120640,0.332
610,2710,3303490,0.321
610,2860,3486340,0.335
610,3010,3669190,0.403
610,3160,3852040,0.386
610,3310,4034890,0.429
610,3460,4217740,0.494
610,3610,4400590,0.466
610,3760,4583440,0.527
610,3910,4766290,0.542
610,4060,4949140,0.519
610,4210,5131990,0.495
610,4360,5314840,0.488
610,4510,5497690,0.538
610,4660,5680540,0.559
610,4810,5863390,0.561
610,4960,6046240,0.634
610,5110,6229090,0.606
610,5260,6411940,0.676
610,5410,6594790,0.671
610,5560,6777640,0.695
610,5710,6960490,0.748
610,5860,7143340,0.743
610,6010,7326190,0.762
610,6160,7509040,0.824
610,6310,7691890,0.809
610,6460,7874740,0.842
610,6610,8057590,0.842
610,6760,8240440,0.949
610,6910,8423290,0.872
610,7060,8606140,0.964
610,7210,8788990,0.958
610,7360,8971840,0.999
610,7510,9154690,0.99
610,7660,9337540,1.072
610,7810,9520390,1.069
610,7960,9703240,1.136
610,8110,9886090,1.101
760,10,15190,0.008
760,160,243040,0.042
760,310,470890,0.075
760,460,698740,0.086
760,610,926590,0.098
760,760,1154440,0.117
760,910,1382290,0.127
760,1060,1610140,0.15
760,1210,1837990,0.188
760,1360,2065840,0.177
760,1510,2293690,0.195
760,1660,2521540,0.256
760,1810,2749390,0.287
760,1960,2977240,0.278
760,2110,3205090,0.342
760,2260,3432940,0.364
760,2410,3660790,0.357
760,2560,3888640,0.398
760,2710,4116490,0.449
760,2860,4344340,0.461
760,3010,4572190,0.516
760,3160,4800040,0.538
760,3310,5027890,0.547
760,3460,5255740,0.61
760,3610,5483590,0.61
760,3760,5711440,0.684
760,3910,5939290,0.669
760,4060,6167140,0.738
760,4210,6394990,0.639
760,4360,6622840,0.666
760,4510,6850690,0.69
760,4660,7078540,0.712
760,4810,7306390,0.723
760,4960,7534240,0.722
760,5110,7762090,0.741
760,5260,7989940,0.824
760,5410,8217790,0.831
760,5560,8445640,0.881
760,5710,8673490,0.885
760,5860,8901340,0.924
760,6010,9129190,0.93
760,6160,9357040,1.028
760,6310,9584890,0.989
760,6460,9812740,1.073
760,6610,10040590,1.049
760,6760,10268440,1.181
760,6910,10496290,1.097
760,7060,10724140,1.225
760,7210,10951990,1.166
760,7360,11179840,1.228
760,7510,11407690,1.205
760,7660,11635540,1.282
760,7810,11863390,1.237
760,7960,12091240,1.313
760,8110,12319090,1.341
910,10,18190,0.01
910,160,291040,0.048
910,310,563890,0.082
910,460,836740,0.093
910,610,1109590,0.105
910,760,1382440,0.144
910,910,1655290,0.152
910,1060,1928140,0.159
910,1210,2200990,0.182
910,1360,2473840,0.238
910,1510,2746690,0.276
910,1660,3019540,0.29
910,1810,3292390,0.307
910,1960,3565240,0.38
910,2110,3838090,0.417
910,2260,4110940,0.403
910,2410,4383790,0.477
910,2560,4656640,0.483
910,2710,4929490,0.595
910,2860,5202340,0.572
910,3010,5475190,0.625
910,3160,5748040,0.713
910,3310,6020890,0.697
910,3460,6293740,0.77
910,3610,6566590,0.83
910,3760,6839440,0.81
910,3910,7112290,0.89
910,4060,7385140,0.91
910,4210,7657990,0.845
910,4360,7930840,0.795
910,4510,8203690,0.854
910,4660,8476540,0.809
910,4810,8749390,0.903
910,4960,9022240,0.9
910,5110,9295090,0.966
910,5260,9567940,0.971
910,5410,9840790,1.063
910,5560,10113640,1.016
910,5710,10386490,1.128
910,5860,10659340,1.081
910,6010,10932190,1.222
910,6160,11205040,1.164
910,6310,11477890,1.23
910,6460,11750740,1.219
910,6610,12023590,1.296
910,6760,12296440,1.29
910,6910,12569290,1.331
910,7060,12842140,1.422
910,7210,13114990,1.41
910,7360,13387840,1.424
910,7510,13660690,1.501
910,7660,13933540,1.512
910,7810,14206390,1.619
910,7960,14479240,1.639
910,8110,14752090,1.702
1060,10,21190,0.01
1060,160,339040,0.054
1060,310,656890,0.196
1060,460,974740,0.185
1060,610,1292590,0.335
1060,760,1610440,0.291
1060,910,1928290,0.256
1060,1060,2246140,0.248
1060,1210,2563990,0.394
1060,1360,2881840,0.359
1060,1510,3199690,0.456
1060,1660,3517540,0.453
1060,1810,3835390,0.42
1060,1960,4153240,0.509
1060,2110,4471090,0.576
1060,2260,4788940,0.548
1060,2410,5106790,0.749
1060,2560,5424640,0.644
1060,2710,5742490,0.764
1060,2860,6060340,0.781
1060,3010,6378190,0.936
1060,3160,6696040,1.114
1060,3310,7013890,1.109
1060,3460,7331740,1.282
1060,3610,7649590,1.045
1060,3760,7967440,1.316
1060,3910,8285290,1.268
1060,4060,8603140,1.371
1060,4210,8920990,1.194
1060,4360,9238840,1.352
1060,4510,9556690,1.254
1060,4660,9874540,1.447
1060,4810,10192390,1.376
1060,4960,10510240,1.388
1060,5110,10828090,1.602
1060,5260,11145940,1.524
1060,5410,11463790,1.647
1060,5560,11781640,1.664
1060,5710,12099490,1.734
1060,5860,12417340,1.847
1060,6010,12735190,1.882
1060,6160,13053040,1.993
1060,6310,13370890,2.033
1060,6460,13688740,2.107
1060,6610,14006590,2.033
1060,6760,14324440,2.13
1060,6910,14642290,2.113
1060,7060,14960140,2.16
1060,7210,15277990,2.336
1060,7360,15595840,3.102
1060,7510,15913690,2.367
1060,7660,16231540,2.683
1060,7810,16549390,2.425
1060,7960,16867240,2.602
1060,8110,17185090,2.573
1210,10,24190,0.011
1210,160,387040,0.06
1210,310,749890,0.188
1210,460,1112740,0.236
1210,610,1475590,0.293
1210,760,1838440,0.365
1210,910,2201290,0.299
1210,1060,2564140,0.42
1210,1210,2926990,0.387
1210,1360,3289840,0.385
1210,1510,3652690,0.451
1210,1660,4015540,0.463
1210,1810,4378390,0.479
1210,1960,4741240,0.617
1210,2110,5104090,0.704
1210,2260,5466940,0.714
1210,2410,5829790,0.735
1210,2560,6192640,0.823
1210,2710,6555490,1.038
1210,2860,6918340,0.906
1210,3010,7281190,1.133
1210,3160,7644040,1.176
1210,3310,8006890,1.232
1210,3460,8369740,1.179
1210,3610,8732590,1.432
1210,3760,9095440,1.291
1210,3910,9458290,1.377
1210,4060,9821140,1.726
1210,4210,10183990,1.331
1210,4360,10546840,1.532
1210,4510,10909690,1.473
1210,4660,11272540,1.549
1210,4810,11635390,1.669
1210,4960,11998240,1.658
1210,5110,12361090,1.925
1210,5260,12723940,1.854
1210,5410,13086790,2
1210,5560,13449640,1.942
1210,5710,13812490,2.087
1210,5860,14175340,1.968
1210,6010,14538190,2.146
1210,6160,14901040,2.107
1210,6310,15263890,2.281
1210,6460,15626740,2.254
1210,6610,15989590,2.26
1210,6760,16352440,2.471
1210,6910,16715290,2.358
1210,7060,17078140,2.63
1210,7210,17440990,2.611
1210,7360,17803840,2.53
1210,7510,18166690,2.82
1210,7660,18529540,2.77
1210,7810,18892390,2.743
1210,7960,19255240,2.943
1210,8110,19618090,2.934
1360,10,27190,0.012
1360,160,435040,0.067
1360,310,842890,0.206
1360,460,1250740,0.239
1360,610,1658590,0.308
1360,760,2066440,0.274
1360,910,2474290,0.348
1360,1060,2882140,0.313
1360,1210,3289990,0.368
1360,1360,3697840,0.382
1360,1510,4105690,0.489
1360,1660,4513540,0.455
1360,1810,4921390,0.791
1360,1960,5329240,0.565
1360,2110,5737090,0.623
1360,2260,6144940,1.046
1360,2410,6552790,0.936
1360,2560,6960640,0.781
1360,2710,7368490,0.966
1360,2860,7776340,0.89
1360,3010,8184190,1.155
1360,3160,8592040,1.001
1360,3310,8999890,1.16
1360,3460,9407740,1.292
1360,3610,9815590,1.164
1360,3760,10223440,1.278
1360,3910,10631290,1.387
1360,4060,11039140,1.327
1360,4210,11446990,1.274
1360,4360,11854840,1.279
1360,4510,12262690,1.327
1360,4660,12670540,1.534
1360,4810,13078390,1.435
1360,4960,13486240,1.524
1360,5110,13894090,1.518
1360,5260,14301940,1.555
1360,5410,14709790,1.741
1360,5560,15117640,1.643
1360,5710,15525490,1.818
1360,5860,15933340,1.818
1360,6010,16341190,2.043
1360,6160,16749040,1.91
1360,6310,17156890,2.052
1360,6460,17564740,1.989
1360,6610,17972590,2.118
1360,6760,18380440,2.129
1360,6910,18788290,2.231
1360,7060,19196140,2.294
1360,7210,19603990,2.229
1360,7360,20011840,2.386
1360,7510,20419690,2.355
1360,7660,20827540,2.451
1360,7810,21235390,2.569
1360,7960,21643240,2.534
1360,8110,22051090,2.564
1510,10,30190,0.011
1510,160,483040,0.072
1510,310,935890,0.243
1510,460,1388740,0.261
1510,610,1841590,0.336
1510,760,2294440,0.298
