HW,kernel,stride,Cin,latency
112,1,1,3,0.102
112,1,1,53,1.003
112,1,1,103,1.902
112,1,1,153,2.824
112,1,1,203,3.502
112,1,1,253,4.27
112,1,1,303,5.381
112,1,1,353,7.159
112,1,1,403,8.005
112,1,1,453,8.642
112,1,1,503,8.797
112,1,1,553,9.625
112,1,1,603,10.387
112,1,1,653,10.837
112,1,1,703,11.358
112,1,1,753,12.139
112,1,1,803,13.046
112,1,1,853,13.91
112,1,1,903,14.523
112,1,1,953,15.339
112,1,1,1003,16.018
112,1,2,3,0.067
112,1,2,53,0.283
112,1,2,103,0.587
112,1,2,153,0.836
112,1,2,203,1.112
112,1,2,253,1.345
112,1,2,303,1.606
112,1,2,353,1.755
112,1,2,403,1.979
112,1,2,453,2.19
112,1,2,503,2.07
112,1,2,553,2.645
112,1,2,603,2.824
112,1,2,653,3.078
112,1,2,703,3.028
112,1,2,753,3.214
112,1,2,803,3.418
112,1,2,853,3.903
112,1,2,903,3.878
112,1,2,953,4.31
112,1,2,1003,4.23
112,1,4,3,0.045
112,1,4,53,0.224
112,1,4,103,0.564
112,1,4,153,0.578
112,1,4,203,0.729
112,1,4,253,0.656
112,1,4,303,0.579
112,1,4,353,0.834
112,1,4,403,0.901
112,1,4,453,0.978
112,1,4,503,1.284
112,1,4,553,1.293
112,1,4,603,1.445
112,1,4,653,1.531
112,1,4,703,1.697
112,1,4,753,1.745
112,1,4,803,1.913
112,1,4,853,1.941
112,1,4,903,2.13
112,1,4,953,2.209
112,1,4,1003,2.375
112,3,1,3,0.224
112,3,1,53,2.666
112,3,1,103,4.844
112,3,1,153,7.617
112,3,1,203,10.043
112,3,1,253,12.159
112,3,1,303,14.809
112,3,1,353,17.008
112,3,1,403,19.307
112,3,1,453,21.523
112,3,1,503,23.385
112,3,1,553,25.332
112,3,1,603,27.698
112,3,1,653,30.133
112,3,1,703,31.827
112,3,1,753,33.527
112,3,1,803,37.218
112,3,1,853,38.76
112,3,1,903,40.61
112,3,1,953,42.86
112,3,1,1003,45.019
112,3,2,3,0.106
112,3,2,53,0.685
112,3,2,103,1.358
112,3,2,153,2.014
112,3,2,203,2.696
112,3,2,253,3.338
112,3,2,303,3.925
112,3,2,353,4.598
112,3,2,403,5.038
112,3,2,453,5.686
112,3,2,503,5.957
112,3,2,553,6.879
